ax_min,ax_max,ax_int,ax_mean,vx,ay_min,ay_max,ay_int,ay_mean,vy,az_min,az_max,az_int,az_mean,vz,wx_min,wx_max,wx_int,wx_mean,wxf,wy_min,wy_max,wy_int,wy_mean,wyf,wz_min,wz_max,wz_int,wz_mean,wzf,a_int,w_int,make,left,right,short,long,file_name,suggestion
-1998,1537,-182019.9722222222,-235.56349206349208,4.003961220032318,-1998,1996,390210.1666666666,497.58730158730157,-0.1447399014511047,-1996,1998,213823.0972222222,274.7936507936508,4.533083676062056,-1630.4,545.2,-13427.27638888889,-15.860317460317457,9.107430506794433,-995.3,2165.6,16668.219444444447,20.15079365079365,5.204246003882533,-857.0,502.9,12518.881944444442,16.20396825396826,5.204246003882533,950163.276956703,135592.5667282965,1,0,0,0,0,1596172607a.csv,ns
-1998,1664,-14369.392857142859,-17.463414634146343,-1.511416633812849,-1307,1993,427427.4603174603,562.8780487804878,2.0175263403741996,-1996,1998,97623.0119047619,128.66666666666666,3.645227771094058,-350.6,2165.1,11428.143253968256,8.888617886178867,12.106299212598424,-451.2,1612.6,18293.55952380952,17.898373983739834,4.035433070866142,-926.1,1568.8,17621.258333333335,18.49918699186992,4.035433070866142,907666.563436225,129272.0903670604,1,0,0,0,0,1596172626a.csv,ns
-1998,1186,-250092.76388888888,-295.97058823529414,2.9573642358344934,-1103,1933,349439.5694444445,415.7867647058824,-0.371915757966376,-1996,1998,131555.51388888888,156.36029411764707,5.079503063771073,-533.7,2083.4,-2659.9194444444415,-1.8566176470588234,7.223668136187389,-2262.9,1439.6,-3327.562500000002,-2.225735294117646,2.40788937872913,-1052.9,1777.2,9698.136111111111,12.465441176470588,18.059170340468473,1011679.4811637282,141176.08051069675,1,0,0,0,0,1596172728a.csv,ns
-1998,1631,-171084.36111111107,-172.34228187919464,4.005837051756178,-1998,1996,438120.22222222213,459.7718120805369,-0.7729470809122823,-1996,1998,151607.10714285713,167.09395973154363,4.552010514660295,-481.3,513.0,-6087.778571428569,-6.098657718120803,7.7230655312847105,-628.7,1588.5,16842.203968253965,14.897986577181209,2.2065901517956314,-1206.4,392.6,1597.9884920634897,-1.069798657718119,8.826360607182526,1097165.3239111542,118462.13958689549,1,0,0,0,0,1596172748a.csv,ns
-1998,1591,-46611.98809523808,-54.1744966442953,-0.22840234391595526,-1998,1996,323635.4166666666,362.4161073825503,3.003676154257827,-1996,1998,106282.76984126982,102.48993288590604,2.5825345276536376,-1764.8,518.2,-23086.908730158728,-24.959731543624155,6.619770455386894,-2239.2,2172.5,15908.994841269838,8.171140939597318,4.413180303591263,-837.2,331.9,-2409.7190476190494,-2.954362416107386,25.375786745649762,1140691.670907296,152435.66113587058,1,0,0,0,0,1596172768a.csv,ns
-1998,1129,-99568.63888888889,-113.54861111111111,-0.3870153269389515,-1998,1415,298965.15277777775,333.40972222222223,2.874307362330552,-1996,1998,111932.33333333331,128.70833333333334,3.206213473564181,-1628.0,421.1,-18678.165277777778,-20.818750000000005,4.542371812059366,-2232.8,1892.4,9213.838888888893,12.364583333333341,2.271185906029683,-605.4,703.2,15438.076388888887,16.34305555555555,1.1355929530148414,1053165.8965903244,131266.8654594671,1,0,0,0,0,1596172842a.csv,ns
-1998,1779,-25292.25,-29.814814814814813,0.010539625508800065,-1998,1996,243705.15079365077,284.8666666666667,0.6017885491068531,-1996,1998,16255.60714285713,2.9851851851851854,1.5650247963422472,-315.9,1424.7,10455.592460317459,14.3637037037037,12.204382729442395,-322.1,1822.9,20210.029761904756,24.44592592592592,4.881753091776958,-829.0,399.9,4022.144047619048,7.191111111111108,4.881753091776958,991546.3095502977,112024.55976717341,0,0,0,1,0,1596172863a.csv,ns
-1998,1169,-117727.14682539682,-119.16339869281046,-1.9859989846181392,-1998,1996,306777.88492063485,331.12418300653593,1.2924185840361033,-1996,1998,106699.19047619047,111.14379084967321,3.241224928257833,-544.3,369.8,-8818.187301587297,-9.590196078431369,5.368421052631578,-2286.2,1863.0,-1244.3916666666669,1.0352941176470603,39.726315789473674,-582.6,489.1,9728.700396825398,10.732026143790849,4.294736842105262,1133884.8181764719,121933.80817919374,0,0,1,0,0,1596172923a.csv,ns
-1998,1107,-175159.05555555553,-198.24113475177305,-1.8396636084145388,-1998,1996,352296.26587301586,408.0,1.5066669738419491,-1996,1900,138134.53174603175,164.9787234042553,4.463273712846753,-455.0,432.5,-3592.000000000005,-1.7836879432624129,9.3416149068323,-1116.7,2098.1,8645.626190476187,16.124822695035466,2.335403726708075,-633.8,401.8,12468.049603174602,15.688652482269516,0.0,1038706.4248619928,121502.32452291615,1,0,0,0,0,1596172994a.csv,ns
-1998,1099,-188140.11111111112,-214.3450704225352,2.493918304824207,-1998,1932,276490.02777777775,312.76056338028167,1.00261717322692,-1996,1993,135755.4583333333,155.11267605633802,4.5617847069244295,-1522.5,456.4,-24753.59444444444,-27.533098591549305,4.605156478028215,-2293.4,2232.2,2364.4263888888904,3.392957746478875,42.59769742176099,-1537.4,541.8,1178.2694444444442,2.523943661971831,6.907734717042323,1074660.5471303072,163486.55070541924,0,0,0,0,1,1596173025a.csv,ns
