time,wx,wy,wz
114853,65.7,-76.7,21.1
114869,19.1,210.5,-52.7
114881,-62.0,-112.2,-6.2
114887,-44.1,-50.5,-28.4
114897,-16.9,32.8,6.3
114984,39.9,55.4,19.3
115014,48.3,26.8,30.1
115026,5.8,-110.2,36.8
115038,38.6,39.4,10.5
115045,10.0,33.8,-45.0
115057,18.6,-25.2,-5.1
115078,9.6,33.8,-18.4
115084,-3.7,34.3,4.5
115090,-31.1,-36.4,30.5
115096,-16.1,-106.7,40.5
115103,12.6,56.9,26.9
115109,9.1,88.4,-8.5
115115,34.9,63.0,-21.0
115121,24.2,55.3,-1.6
115128,-3.0,53.0,-0.5
115134,-25.7,50.8,-15.4
115140,-40.6,52.4,-23.0
115146,-24.2,50.8,-10.9
115153,16.3,28.0,20.3
115159,-2.4,-34.1,14.7
115165,-1.6,-102.4,28.0
115171,3.2,-127.1,20.1
115178,7.1,72.5,0.7
115184,-3.2,72.1,-36.2
115190,-9.8,-23.1,-25.1
115196,6.3,-29.5,9.9
115203,-1.1,-22.0,19.4
115209,-1.1,-8.1,5.8
115215,11.4,21.0,-17.9
115221,5.6,-26.7,-10.0
115228,-13.7,-24.3,15.3
115234,-22.0,30.5,0.2
115240,-23.8,-62.9,16.8
115246,18.1,62.5,33.4
115253,-32.1,7.9,15.6
115259,6.2,77.4,-28.3
115265,40.4,98.9,-35.2
115271,12.8,77.7,-0.4
115278,-12.4,48.7,-1.2
115284,-17.2,29.1,-24.0
115290,-13.1,9.9,-32.8
115296,5.7,18.6,-14.6
115303,18.6,11.3,13.5
115309,-4.8,-107.3,30.1
115315,13.8,-146.1,14.4
115321,8.8,66.9,16.8
115328,-20.0,61.6,-16.3
115334,-18.1,7.3,-40.6
115340,9.3,-13.8,2.1
115346,-1.4,-29.8,26.4
115353,-12.2,-11.3,12.8
115359,-12.8,11.2,-18.9
115365,-1.9,-25.2,-9.3
115371,-0.3,-14.8,19.7
115378,-9.1,-31.2,17.7
115384,24.3,-66.5,18.2
115390,-8.2,35.2,28.2
115396,-47.4,-24.7,32.9
115403,12.1,34.5,-13.2
115409,36.5,90.3,-31.8
115415,4.2,38.7,-9.9
115421,-14.4,-0.6,1.8
115428,-15.4,-2.9,-11.8
115434,-1.7,-3.0,-19.1
115440,21.9,1.9,3.0
115446,9.6,-32.1,14.6
115453,19.7,-94.9,17.4
115459,25.2,-20.7,4.9
115465,-7.0,7.4,-6.0
115471,-18.9,-51.1,-27.7
115478,11.6,-41.7,-21.4
115484,2.2,-28.7,13.3
115490,-11.9,-23.6,14.2
115496,-13.9,-20.6,5.3
115503,-20.9,-28.9,15.8
115509,-38.5,-35.9,21.2
115515,-31.0,-35.4,10.5
115521,-12.6,-34.5,1.8
115528,2.0,-6.7,15.2
115534,-14.2,-52.3,25.1
115540,25.1,-63.2,5.8
115546,16.1,72.8,-18.9
115553,-7.9,63.4,-24.7
115559,24.2,14.9,-42.9
115565,-5.6,-25.6,-22.8
