time,wx,wy,wz
91519,0.5,4.5,-0.2
91583,0.0,5.1,0.6
91608,0.4,1.9,0.5
91630,-0.4,3.0,0.5
91636,0.3,1.4,-0.1
91642,0.5,1.4,-0.7
91648,-1.0,1.6,0.4
91655,-0.8,5.1,0.2
91661,-1.1,-1.3,0.3
91667,0.1,2.8,0.5
91673,-0.9,3.8,0.4
91680,-3.9,-3.9,0.2
91686,-0.9,3.9,0.4
91692,-0.2,4.0,0.7
91698,0.2,4.0,-0.4
91705,-3.2,-0.2,0.4
91711,-1.2,7.0,0.4
91717,-1.6,0.4,0.7
91723,-1.4,-0.2,2.3
91730,-1.8,5.1,3.6
91736,-3.0,1.3,4.3
91742,-1.8,3.9,4.0
91748,-3.2,-1.1,5.4
91755,-2.0,2.2,5.6
91761,-3.9,-3.5,6.5
91767,-0.9,2.9,5.5
91773,0.9,2.5,5.3
91780,0.0,0.0,3.7
91786,-2.6,-11.6,-1.1
91792,-5.1,3.8,-2.5
91798,-7.2,-1.5,4.0
91805,5.1,9.8,7.0
91811,6.4,-5.2,3.0
91817,3.5,-10.4,-2.2
91823,-0.9,-16.1,-2.5
91830,2.5,-3.0,2.4
91836,7.4,2.8,6.7
91842,7.9,6.2,5.3
91848,1.5,1.6,-1.9
91855,-1.4,-1.1,-6.4
91861,-1.8,1.8,-5.0
91867,0.8,8.9,-1.8
91873,0.1,8.3,-0.6
91880,-0.5,3.5,-1.1
91886,-0.7,0.7,-2.0
91892,-1.6,4.9,-1.8
91898,-1.6,3.7,-1.4
91905,-0.9,1.0,-1.6
91911,-0.4,0.7,-1.6
91917,-1.1,3.0,-2.1
91923,-3.0,2.2,-0.5
91930,-0.2,4.4,-1.3
91936,-0.8,-1.7,-0.6
91942,-0.4,1.6,0.7
91948,-1.6,0.2,1.0
91955,-2.1,-0.9,1.4
91961,-3.3,-0.4,1.4
91967,-3.9,-2.3,1.5
91973,-1.5,2.2,1.7
91980,-2.9,0.2,2.9
91986,-2.9,-2.0,3.0
91992,-0.2,2.8,4.5
91998,-0.7,0.4,4.4
92005,-1.9,-3.0,3.2
92011,-0.2,1.6,2.7
92017,1.3,4.4,1.9
92023,0.7,0.3,1.6
92030,-1.9,-7.2,2.6
92036,-2.1,-0.2,5.4
92042,-2.7,-9.9,4.7
92048,1.7,-1.5,4.2
92055,3.7,-4.8,6.7
92061,7.9,3.3,6.9
92067,6.5,2.5,1.6
92073,5.3,15.0,-5.7
92080,2.5,12.6,-9.6
92086,1.4,6.7,-9.1
92092,3.7,17.5,-3.6
92098,3.5,5.8,4.7
92105,11.5,0.2,14.7
92111,31.8,-23.3,27.6
92117,96.1,-63.6,31.9
92123,133.0,-411.6,-30.9
92130,171.1,51.9,-167.6
92136,118.0,-44.3,-76.0
92142,49.7,53.5,-78.6
92148,42.3,-12.4,-113.6
92155,-9.1,15.4,-90.5
92161,-33.7,25.1,-92.8
92167,-78.7,-7.4,-102.1
92173,-81.9,143.2,-94.5
92180,-126.2,43.6,-96.1
92186,-111.3,41.1,-52.5
92192,-97.5,48.4,-30.5
92198,-97.8,48.5,-16.0
92205,-114.9,-21.2,17.4
92211,-125.2,57.4,23.0
92217,-92.6,4.8,-27.5
92223,0.1,5.8,-12.0
92230,-49.8,-77.2,-59.2
92236,-17.5,99.9,-105.8
92242,-79.1,-29.0,-81.8
92248,-12.1,85.1,-99.0
92255,-139.5,-13.0,-52.1
92261,-116.2,35.0,1.1
92267,-138.9,11.1,65.6
92273,-190.2,-11.9,120.1
92280,-321.5,-37.5,170.6
92286,-335.0,65.0,243.0
92292,-263.4,-17.7,158.6
92298,-52.9,24.9,71.8
92305,77.7,-36.6,-4.9
92311,0.4,-53.8,8.3
92317,110.7,-42.2,-2.5
92323,23.1,-174.3,30.5
92330,24.0,-95.3,42.7
92336,14.9,-28.9,29.4
92342,0.2,-77.6,75.2
92348,-25.3,-160.3,74.9
92355,2.1,-148.6,46.2
92361,-7.7,-88.3,53.2
92367,-8.4,-106.4,29.2
92373,-14.2,-50.6,15.8
92380,-24.6,-52.7,48.0
92386,-14.6,-29.0,17.8
92392,-17.7,-17.5,10.7
92398,-15.3,-4.1,12.3
92405,-10.1,-4.0,8.1
92411,-8.0,-6.9,0.5
92417,-2.0,-8.1,0.6
92423,-5.1,-15.8,10.8
92430,7.0,-1.4,3.2
92436,0.9,-18.2,8.1
92442,1.5,-13.4,8.6
92448,2.8,-11.7,7.3
92455,1.1,-15.6,9.6
92461,0.3,-2.1,3.5
92467,-4.0,0.4,6.4
92473,-4.2,-1.8,5.0
92480,-2.8,-2.8,4.3
92486,-2.0,-10.0,3.4
92492,-1.6,-0.1,2.3
92498,-8.7,0.9,3.7
92505,-9.1,10.7,3.9
92511,-12.0,22.3,-12.1
92517,-10.0,27.6,-25.2
92523,-14.7,25.8,-28.0
92530,-22.3,56.8,-25.6
92536,-22.0,47.5,-16.5
92542,-10.7,29.1,-5.1
92548,4.1,-10.9,8.4
92555,35.2,-106.3,69.9
92561,72.3,-168.9,145.4
92567,39.6,-321.5,262.6
92573,72.7,-414.4,265.2
92580,99.3,-382.2,240.3
92586,13.6,-343.2,253.0
92592,-48.0,-191.3,172.2
92598,-111.7,-87.0,77.3
92605,-55.0,119.9,-51.8
92611,-210.9,498.4,-12.5
92617,-356.7,-221.2,-5.6
92623,-303.7,1522.5,284.3
92630,1793.3,558.7,958.8
92636,601.4,-1780.0,816.4
92642,371.7,1877.4,153.9
92648,-103.4,-79.5,-62.9
92655,66.1,-162.0,87.5
92661,-58.1,-257.6,11.5
92667,0.0,10.9,24.7
92673,130.2,102.9,-85.3
92680,-29.1,-1.2,32.7
92686,16.5,-82.9,-7.7
92692,60.2,26.8,-53.0
92698,-10.0,-141.9,6.7
92705,10.9,37.1,2.3
92711,48.4,32.6,-22.6
92717,4.2,-22.8,7.1
92723,17.8,20.7,-47.3
92730,28.8,6.9,5.8
92736,14.4,12.3,-1.1
92742,-12.4,-8.8,7.9
92748,-3.5,10.9,-12.1
92755,-21.2,-5.0,11.4
92761,-27.4,0.5,23.1
92767,-29.8,-10.0,17.7
92773,-20.5,4.4,11.4
92780,-24.7,19.8,10.8
92786,-13.3,9.9,-1.0
92792,-27.3,7.7,16.9
92798,-4.4,0.4,-8.6
92805,-11.6,-1.4,8.1
92811,-9.9,5.4,0.0
92817,-6.7,-1.6,0.2
92823,-4.4,-1.4,-5.6
92830,-6.3,2.3,-4.6
92836,-3.9,3.8,-5.3
92842,-4.6,5.6,-2.9
92848,0.9,0.8,-4.9
92855,3.1,2.1,-5.6
92861,3.3,1.2,-5.9
92867,2.4,1.8,-7.0
92873,0.4,4.0,-10.9
92880,1.4,4.2,-5.6
92886,2.0,12.3,-13.0
92892,2.5,5.7,-13.0
92898,5.5,8.2,-14.0
92905,0.6,7.7,-7.7
92911,-0.4,4.4,-4.2
92917,5.6,5.8,-13.6
92923,-11.6,5.3,4.9
92930,1.0,5.9,-5.7
