time,ax,ay,az
89422,471,606,-315
89434,7,1053,-166
89516,-25,583,-208
89560,383,1065,-570
89567,20,1473,-496
89574,109,1066,-549
89580,354,465,-579
89586,53,472,-437
89592,-287,860,-219
89599,-99,919,-199
89605,108,662,-271
89611,186,568,-284
89617,39,693,-198
89624,13,985,-310
89630,130,1102,-508
89636,-282,1354,-310
89642,-125,1258,-466
89649,306,1163,-618
89655,374,842,-751
89661,-372,791,-271
89667,-202,764,-408
89674,-5,796,-408
89680,-138,706,-194
89686,-141,617,-165
89692,-77,629,-170
89699,-16,733,-192
89705,-75,920,-147
89711,-47,1029,-118
89717,94,1048,-189
89724,140,1231,-277
89730,71,1493,-323
89736,510,1232,-763
89742,-88,878,-271
89749,249,515,-432
89755,196,510,-513
89761,-116,797,-347
89767,-341,1035,-210
89774,-125,921,-217
89780,83,761,-281
89786,164,734,-333
89792,75,915,-288
89799,-204,1143,-400
89805,-265,1438,-579
89811,135,1387,-670
89817,177,910,-561
89824,-111,635,-332
89830,-261,561,-369
89836,-154,733,-368
89842,-178,794,-211
89849,-129,663,-210
89855,-154,754,-218
89861,-191,1040,-212
89867,-159,1116,-243
89874,-336,1158,-194
89880,-66,920,-328
89886,363,674,-380
89892,-278,801,79
89899,585,697,-517
89905,28,1001,-409
89911,-221,1286,-159
89917,-39,952,-216
89924,31,630,-297
89930,-116,745,-234
89936,-25,1017,-253
89942,-139,1206,-362
89949,-136,1220,-511
89955,-1,1008,-473
89961,-233,922,-391
89967,-290,740,-321
89974,-300,715,-428
89980,-327,908,-365
89986,-316,842,-218
89992,-160,702,-202
89999,-149,702,-150
90005,-236,830,-110
90011,-248,960,-173
90017,-352,1090,-147
90024,-35,1148,-277
90030,539,1071,-489
90036,-181,978,100
90042,428,776,-247
90049,358,794,-372
90055,116,871,-391
90061,-298,1094,-157
90067,-143,1089,-229
90074,-49,894,-297
90080,6,797,-300
90086,98,783,-343
90092,-39,893,-351
90099,-152,953,-424
90105,73,1178,-541
90111,-298,946,-160
90117,224,785,-475
90124,-210,798,-375
90130,-407,1031,-250
90136,-35,1077,-316
90142,-40,876,-200
90149,39,777,-194
90155,4,855,-203
90161,-190,954,-159
90167,-120,998,-272
90174,83,1050,-780
90180,-614,1020,-122
90186,-254,787,-115
90192,-18,732,-214
90199,28,860,-269
90205,-142,1120,-219
90211,-160,1093,-187
90217,-17,1028,-213
90224,57,924,-192
90230,102,861,-198
90236,4,880,-211
90242,-66,946,-252
90249,-171,953,-237
90255,-161,924,-250
90261,-141,951,-244
90267,-95,919,-246
90274,-89,912,-234
90280,-93,916,-225
90286,-103,934,-233
90292,-124,928,-223
90299,-67,935,-239
90305,-36,974,-225
90311,-18,976,-214
90317,-2,950,-227
90324,-40,929,-229
90330,-57,948,-247
90336,-89,972,-250
90342,-104,950,-244
90349,-54,928,-259
90355,-97,910,-221
90361,2,924,-259
90367,-45,953,-249
90374,-59,950,-270
90380,-69,942,-279
90386,-82,914,-262
90392,-78,908,-259
90399,-85,916,-249
90405,-62,936,-264
90411,-56,923,-255
90417,-61,923,-259
90424,-81,960,-253
90430,-43,937,-267
90436,-48,935,-264
90442,-63,923,-259
90449,-80,926,-268
90455,-81,937,-273
90461,-90,931,-273
90467,-70,940,-277
90474,-92,927,-260
90480,-75,923,-266
90486,-74,926,-267
90492,-87,914,-258
90499,-66,921,-256
90505,-52,941,-262
90511,-60,946,-252
90517,-62,937,-259
90524,-61,939,-257
90530,-65,930,-256
90536,-60,928,-260
90542,-68,945,-255
90549,-65,922,-261
90555,-69,933,-264
90561,-72,930,-255
90567,-56,928,-265
