time,ax,ay,az
63497,-553,17,897
63503,-546,4,882
63509,-523,-6,881
63515,-521,-4,895
63522,-584,-43,910
63528,-516,29,880
63534,-441,79,924
63540,-327,-66,892
63547,-471,-114,933
63553,-512,-183,857
63559,-595,-144,879
63565,-483,-61,873
63572,-504,-119,919
63578,-552,-230,882
63584,-526,-133,862
63590,-558,-40,931
63597,-444,-136,864
63603,-553,-236,897
63609,-562,-113,840
63615,-464,50,871
63622,-427,-145,942
63628,-497,-214,900
63634,-475,-67,833
63640,-476,-37,898
63647,-506,-38,821
63653,-625,-72,669
63659,-568,-248,699
63665,-502,-259,553
63672,-426,-368,440
63678,-152,-543,470
63684,17,-145,179
63690,183,-533,219
63697,460,-458,316
63703,420,-305,309
63709,201,-443,504
63715,-372,-452,739
63722,-1205,14,976
63728,-1628,122,1136
63734,-1171,-197,668
63740,-1019,147,152
63747,-1054,635,-85
63753,-710,594,-331
63759,-1163,1090,-362
63765,-1138,840,-340
63772,-884,739,-562
63778,-1041,809,-653
63784,-887,378,-443
63790,-859,298,-676
63797,-800,201,-583
63803,-710,-13,-626
63809,-765,38,-862
63815,-862,14,-905
63822,-1108,-33,-883
63828,-1286,-11,-961
63834,-851,148,-701
63840,-809,-11,-482
63847,-874,-60,-399
63853,-881,-7,-523
63859,-793,-78,-636
63865,-787,-59,-551
63872,-862,-53,-376
63878,-889,-86,-347
63884,-837,-139,-453
63890,-939,-179,-522
63897,-964,-178,-603
63903,-889,-66,-425
63909,-816,-200,-489
63915,-715,-193,-622
63922,-771,-197,-586
63928,-851,-209,-489
63934,-875,-199,-433
63940,-878,-209,-443
63947,-886,-166,-469
63953,-948,-151,-417
63959,-972,-115,-444
63965,-951,-57,-476
63972,-924,-93,-480
63978,-889,-77,-466
63984,-877,-104,-447
63990,-880,-110,-462
63997,-882,-104,-477
64003,-895,-145,-454
64009,-875,-162,-471
64015,-874,-155,-482
64022,-845,-163,-494
64028,-859,-174,-471
64034,-868,-143,-476
64040,-867,-145,-471
64047,-853,-136,-472
64053,-856,-141,-470
64059,-845,-133,-484
64065,-862,-151,-490
64072,-863,-152,-498
64078,-864,-153,-469
64084,-893,-142,-442
64090,-880,-139,-445
64097,-881,-86,-466
64103,-940,-104,-483
64109,-967,-50,-514
64115,-896,-81,-525
64122,-885,-146,-527
64128,-849,-135,-523
64134,-834,-130,-507
64140,-802,-95,-473
64147,-795,-75,-570
64153,-696,1,-619
64159,-679,58,-636
64165,-797,99,-731
64172,-863,361,-736
64178,-832,437,-642
64184,-746,381,-680
64190,-645,359,-721
64197,-697,286,-684
64203,-698,274,-701
64209,-655,-105,-550
64215,-680,384,-778
64222,-775,250,-692
64228,-721,104,-771
65121,-273,459,-44
65156,-294,1114,-509
65192,-170,683,0
65210,-316,1139,-101
65231,83,1263,-397
65238,-77,1160,-192
65244,188,691,-233
65250,432,628,-500
65256,-19,792,-265
65263,-281,875,-118
65269,-128,816,-319
65275,-217,998,-363
65281,-342,1117,-292
65288,-371,1037,-256
65294,-297,851,-293
65300,41,1045,-654
65306,-341,825,-205
65313,-330,605,-225
65319,-218,738,-358
65325,-408,1035,-215
65331,-472,988,-136
65338,-343,835,-154
65344,-226,738,-168
65350,-290,820,-131
65356,-442,904,-85
65363,-396,989,-254
65369,-191,1286,-554
65375,-169,1049,-302
65381,-281,690,-46
65388,86,584,-236
65394,224,767,-496
65400,-58,1098,-397
65406,-406,1102,-228
65413,-455,845,-185
65419,-259,845,-343
65425,-232,1036,-407
65431,-341,1102,-340
65438,-283,980,-281
65444,-240,762,-155
65450,-185,644,-185
65456,-145,850,-231
65463,-451,1071,-102
65469,-403,1049,-196
65475,-344,906,-160
65481,-444,843,-61
65488,-233,849,-252
65494,-145,930,-306
65500,-214,981,-236
65506,-327,936,-101
65513,-275,842,-149
65519,-205,883,-281
65525,-305,976,-230
65531,-321,961,-165
65538,-248,894,-180
65544,-221,875,-185
65550,-237,923,-170
65556,-260,949,-161
65563,-263,918,-162
65569,-268,923,-165
65575,-263,921,-144
65581,-237,916,-161
65588,-236,930,-161
65594,-266,970,-147
65600,-287,932,-125
65606,-257,909,-137
65613,-233,893,-138
65619,-262,925,-120
65625,-251,955,-135
65631,-244,952,-138
65638,-235,921,-134
65644,-227,948,-152
65650,-225,980,-151
65656,-247,910,-134
65663,-261,853,-127
65669,-258,856,-129
65675,-258,901,-139
65681,-304,956,-124
65688,-317,981,-166
65694,-402,815,-148
65700,-361,408,-126
65706,-204,578,-248
65713,31,843,-397
65719,423,958,-551
65725,698,1070,-553
65731,909,1275,-714
65738,1107,1192,-1293
65744,932,1188,-1870
65750,-1542,1934,-436
65756,753,695,-1996
65763,-397,357,-1423
65769,-1058,163,-843
65775,-633,389,-205
65781,-123,346,270
65788,-540,862,775
65794,-209,617,456
65800,-617,1001,595
65806,-465,674,695
65813,-265,493,600
65819,-172,715,491
65825,-359,770,573
65831,-513,983,511
65838,-595,935,471
65844,-525,778,376
65850,-518,829,257
65856,-800,821,327
65863,-1058,721,369
65869,-1060,446,474
65875,-691,533,346
65881,-695,355,561
65888,-644,354,633
65894,-604,554,630
65900,-585,582,696
65906,-420,838,613
65913,-78,-116,536
65919,-156,841,408
65925,391,722,-222
65931,10,-1227,-884
65938,1806,-59,-441
65944,-35,1142,276
65950,-29,1207,573
65956,84,821,531
65963,190,1125,619
65969,310,1236,660
65975,614,1263,592
65981,821,903,474
65988,677,726,385
65994,639,571,371
66000,664,576,252
66006,622,572,83
66013,548,407,100
66019,532,509,269
66025,538,667,237
66031,611,655,177
66038,723,636,105
66044,749,632,46
66050,764,639,41
66056,818,650,68
66063,771,601,121
66069,679,596,130
66075,687,621,160
66081,624,585,190
66088,638,642,194
66094,742,628,131
66100,705,514,112
66106,700,452,78
66113,836,652,104
66119,882,817,271
66125,1053,828,321
66131,1390,984,195
66138,1282,1115,217
66144,1539,430,-719
66150,1490,-391,-1037
66156,998,-220,-1126
66163,572,-553,-1138
66169,-170,-449,-1146
66175,23,-419,-1797
66181,-895,-203,-1932
66188,-1317,-536,-1996
66194,-1481,-480,-1996
66200,-1998,-139,-1996
66206,-1998,-1998,-1996
66213,-1998,1506,-1996
66219,-1998,1996,1266
66225,-1753,-1260,614
66231,-873,1113,-162
66238,-430,-277,1622
66244,-244,687,1697
66250,-1856,753,1998
