time,wx,wy,wz
31148,7.3,22.6,-17.2
31160,-7.9,-18.3,-12.8
31166,-48.0,17.2,-47.6
31172,12.8,23.5,-32.6
31178,29.1,39.5,-10.0
31185,9.3,20.8,11.8
31191,-5.2,50.7,-2.3
31197,-7.7,53.0,12.7
31203,-1.1,32.6,23.4
31210,40.6,-22.6,14.9
31216,25.6,72.1,-24.5
31222,3.4,24.7,-0.6
31228,-10.6,21.9,0.0
31235,-18.7,53.6,-38.2
31241,-2.6,27.9,-39.2
31247,20.2,32.5,-22.8
31253,18.4,31.3,-14.0
31260,-4.6,12.1,-8.8
31266,-17.5,11.0,-14.4
31272,-34.6,16.8,-26.1
31278,-40.8,19.2,-35.4
31285,-31.1,36.1,-46.8
31291,-9.9,49.4,-51.1
31297,-0.8,26.3,-49.5
31303,7.9,5.2,-30.2
31310,-18.3,23.6,-42.0
31316,-46.2,39.4,-73.8
31322,-49.2,27.5,-91.7
31328,-17.7,35.9,-65.1
31335,-1.3,49.2,-36.4
31341,-3.5,47.0,-38.1
31347,-13.0,50.1,-54.7
31353,-19.6,53.4,-56.0
31360,-26.6,51.8,-44.1
31366,-28.0,52.8,-31.7
31372,-17.2,44.9,-16.1
31378,-17.7,54.1,-11.6
31385,-19.1,47.2,-3.2
31391,0.4,39.2,6.5
31397,17.8,66.7,9.6
31403,5.7,38.2,8.9
31410,-8.6,23.5,-3.5
31416,-4.0,4.2,-14.0
31422,0.3,4.9,-7.8
31428,-3.7,9.3,10.0
31435,-10.0,19.1,4.8
31441,-10.0,13.6,4.7
31447,2.3,10.8,-0.5
31453,-0.5,5.9,3.7
31460,-0.7,2.3,5.7
31466,-0.2,2.3,-4.7
31472,1.4,8.9,-6.0
31478,1.8,5.8,-1.2
31485,-3.7,8.1,5.8
31491,-7.6,7.4,6.3
31497,-6.2,9.3,-0.3
31503,-3.6,9.3,5.5
31510,0.6,14.0,6.3
31516,4.3,17.1,0.4
31522,15.8,6.3,7.7
31528,20.2,6.4,10.1
31535,2.5,7.2,-3.5
31541,-5.7,1.0,-2.3
31547,-14.2,-6.2,7.7
31553,-9.8,-3.9,4.2
31560,-4.5,-5.8,-4.4
31566,0.0,-1.2,-1.6
31572,3.2,-4.6,8.1
31578,7.0,-2.8,7.9
31585,15.1,-10.0,3.2
31591,8.0,-4.6,-8.8
31597,-3.0,5.7,-14.5
31603,-0.7,10.7,-6.9
31610,-9.2,-0.9,-1.2
31616,3.7,8.8,-11.9
31622,-1.0,29.5,-19.1
31628,-14.3,11.9,-11.3
31635,-35.2,9.9,-24.4
31641,-8.7,18.2,-16.1
31647,6.8,15.3,8.5
31653,5.1,6.1,18.1
31660,14.8,2.5,17.5
31666,6.4,6.0,5.1
31672,3.4,-1.3,9.0
31678,6.5,9.2,6.9
31685,5.4,14.7,0.4
31691,3.5,19.2,0.3
31697,3.6,11.6,-7.0
31703,-2.6,25.2,-18.0
31710,-2.5,11.1,-11.7
31716,-4.9,17.4,-6.1
31722,-9.6,8.4,-7.9
31728,-4.6,7.4,-14.6
31735,-1.0,7.4,-16.1
31741,0.2,7.0,-16.4
31747,0.0,8.2,-17.0
31753,2.4,-3.2,-14.9
31760,1.1,2.5,-17.5
31766,0.0,3.1,-16.3
31772,4.2,-6.2,-13.6
31778,3.5,-5.2,-12.1
31785,12.4,-12.9,-9.3
31791,8.8,-18.1,-7.9
31797,5.8,-17.2,-4.3
31803,3.5,-30.8,-4.9
31810,-8.1,-21.5,-11.8
31816,-10.2,-19.3,-20.6
31822,-14.9,-45.3,-28.5
31828,-18.3,-55.5,-42.2
31835,-17.7,-63.5,-49.2
31841,-10.0,-53.4,-73.7
31847,11.3,-57.3,-68.8
31853,30.2,-40.3,-53.6
31860,25.6,-20.5,-53.6
31866,23.2,3.8,-37.9
31872,5.5,16.5,-31.4
31878,-11.3,22.0,-16.4
31885,-2.5,24.6,-8.0
31891,-7.7,29.7,3.7
31897,-11.4,34.3,18.5
31903,-23.3,30.8,23.1
31910,-27.9,27.9,20.1
31916,-26.9,38.7,11.4
31922,-19.9,38.2,10.3
31928,-19.6,43.3,9.4
31935,-20.2,37.1,19.1
31941,-18.7,37.5,25.5
31947,-16.5,47.1,25.8
31953,-13.7,32.5,25.6
31960,-15.4,44.1,18.2
31966,-18.7,38.6,24.9
31972,-20.9,45.6,23.3
31978,-22.5,40.5,19.5
31985,-21.2,36.1,18.7
31991,-16.3,26.1,18.2
31997,-15.1,18.6,17.2
32003,-16.4,6.7,12.3
32010,-16.3,7.9,7.5
32016,-17.2,14.5,3.9
32022,-13.5,8.0,8.5
32028,-8.8,3.3,12.1
32035,3.5,15.8,3.6
32041,-5.1,14.3,-1.8
32047,-11.9,-8.1,10.7
32053,-14.2,-3.5,16.2
32060,-6.8,-11.4,6.0
32066,-1.4,-6.8,1.9
