time,wx,wy,wz
111693,0.0,3.5,0.0
111707,-2.2,2.9,0.0
111728,-2.0,0.7,0.1
111735,-2.1,0.5,0.9
111747,0.0,2.1,0.7
111782,-1.6,3.9,0.0
111864,1.7,-0.9,-2.9
111870,0.3,2.2,-0.5
111876,-1.1,0.5,2.4
111883,-0.8,-0.4,2.4
111889,-1.1,-2.3,2.5
111895,-1.5,0.8,1.3
111901,-3.6,-2.5,1.1
111908,-2.9,0.7,1.1
111914,-2.3,-1.7,0.2
111920,-1.1,3.3,1.1
111926,-2.2,0.1,0.3
111933,-2.2,0.6,0.5
111939,-1.1,2.1,0.7
111945,-0.4,0.9,0.8
111951,0.2,1.8,0.7
111958,-1.1,-2.3,0.2
111964,-0.9,1.8,0.2
111970,0.1,1.4,0.0
111976,0.2,2.2,-0.6
111983,-1.4,0.6,0.8
111989,-2.3,0.9,1.8
111995,0.0,0.9,1.0
112001,0.4,1.5,1.6
112008,-0.2,1.1,1.6
112014,-0.9,-0.3,0.7
112020,-0.5,5.6,1.1
112026,-1.3,3.9,0.4
112033,-1.1,2.8,-1.5
112039,-2.6,1.8,-1.2
112045,-2.5,3.9,-1.2
112051,-1.2,4.0,-0.4
112058,-0.4,0.6,1.4
112064,-0.5,1.4,0.7
112070,-0.7,3.0,0.0
112076,-0.9,4.2,-0.7
112083,-2.0,1.3,-1.4
112089,-0.5,3.5,-2.3
112095,-1.1,2.5,-1.1
112101,-0.5,2.5,-0.4
112108,-0.1,2.1,-0.7
112114,-1.1,2.3,0.8
112120,-0.3,3.5,1.7
112126,-1.0,2.3,1.3
112133,-0.8,3.4,1.7
112139,-0.9,-0.7,0.7
112145,0.5,1.4,0.0
112151,-0.3,2.1,0.9
112158,-0.9,0.0,-0.1
112164,-0.4,0.6,0.1
112170,0.0,1.8,0.0
112176,-0.7,2.6,-4.1
112183,-2.8,1.8,-1.6
112189,-1.1,3.1,0.0
112195,-0.7,3.0,-0.9
112201,-0.7,4.2,0.2
112208,-3.2,0.4,1.1
112214,0.1,3.0,0.0
112220,-0.9,2.8,-0.9
112226,-2.3,0.7,-0.2
112233,-2.6,1.2,-0.5
112239,-2.3,1.1,-0.8
112245,-2.1,0.5,0.9
112251,0.4,-0.5,0.2
112258,2.0,-0.9,-0.8
112264,-1.8,-0.2,2.0
112270,-4.1,2.5,1.3
112276,-3.0,0.9,-0.8
112283,-2.3,-1.9,-0.8
112289,-0.1,0.3,-0.3
112295,-0.4,3.1,0.9
112301,-1.8,-2.9,0.7
112308,-1.0,1.6,0.7
112314,-0.9,-0.6,1.2
112320,1.2,3.2,1.8
112326,3.0,1.4,0.4
112333,2.5,-2.1,-0.6
112339,0.7,4.4,-0.3
112345,-1.8,3.6,-1.2
112351,-1.9,8.3,-0.4
112358,0.5,7.0,0.4
112364,0.4,-0.2,-1.3
112370,0.0,0.9,-1.8
112376,-1.1,4.2,-2.3
112383,-2.9,4.2,-2.2
112389,-2.3,3.9,-1.1
112395,-0.7,4.8,-1.1
112401,2.8,0.2,-0.9
112408,1.9,3.0,1.4
112414,-1.0,-3.0,2.3
112420,0.9,0.7,0.6
112426,1.4,1.9,0.7
112433,0.7,-1.9,0.7
112439,1.7,1.8,1.6
112445,2.3,6.8,1.1
112451,0.6,2.3,0.9
112458,0.7,5.6,0.1
112464,0.4,3.5,0.3
112470,-0.3,3.7,0.9
112476,-0.7,2.8,0.4
112483,0.6,4.5,-0.2
112489,-0.3,1.6,0.4
112495,0.8,3.9,1.1
112501,2.6,1.9,3.5
