time,ax,ay,az
45016,-795,-425,589
45022,-882,-228,818
45029,-703,-241,753
45035,-834,76,700
45041,-686,22,864
45047,-249,3,834
45054,-364,79,771
45060,-552,-115,896
45066,-450,-221,975
45072,-397,-124,919
45079,-522,-82,912
45085,-470,-17,900
45091,-472,-28,887
45097,-430,45,863
45104,-420,33,902
45110,-480,-52,871
45116,-593,-72,890
45122,-536,-114,857
45129,-620,-151,915
45135,-551,-69,863
45141,-781,88,852
45147,-588,116,807
45154,-355,-88,439
45160,-38,20,-151
45166,669,-605,-367
45172,671,-330,0
45179,792,-287,154
45185,1319,-141,3
45191,1204,-283,409
45197,442,-224,448
45204,-36,-210,-391
45210,-1990,309,214
45216,-1998,269,392
45222,-1961,131,599
45229,-1591,195,429
45235,-1282,246,76
45241,-1282,145,-23
45247,-1049,-45,-384
45254,-1008,-141,-729
45260,-1369,135,-966
45266,-1590,-239,-1110
45272,-1690,169,-1199
45279,-1336,667,-894
45285,-1260,465,-584
45291,-1097,62,-506
45297,-830,76,-601
45304,-655,98,-529
45310,-692,-1,-484
45316,-810,-82,-555
45322,-859,-143,-743
45329,-872,-184,-819
45335,-935,-234,-932
45341,-800,-382,-974
45347,-780,-350,-862
45354,-516,-19,-535
45360,-966,-7,-487
45366,-1168,-109,-390
45372,-926,23,-258
45379,-669,83,-323
45385,-620,6,-450
45391,-740,-10,-545
45397,-826,-13,-550
45404,-966,-9,-528
45410,-1199,4,-562
45416,-1274,55,-725
45422,-1046,38,-785
45429,-1072,187,-524
45435,-1181,-61,-528
45441,-987,-114,-645
45447,-682,-17,-550
45454,-687,-90,-381
45460,-838,-150,-339
45466,-1062,-289,-616
45472,-1020,-226,-841
45479,-825,-232,-981
45485,-811,-414,-1045
45491,-331,-275,-764
45497,-884,-23,-318
45504,-1085,-109,-185
45510,-925,-159,-242
45516,-834,-113,-206
45522,-912,-86,-229
45529,-972,-84,-308
45535,-944,63,-457
45541,-1063,73,-551
45547,-1550,-6,-673
45554,-1565,185,-942
45560,-1113,411,-642
45566,-1072,67,-632
45572,-1013,-37,-589
45579,-840,17,-507
45585,-909,-89,-575
45591,-937,-149,-784
45597,-811,-237,-774
45604,-813,-574,-897
45610,-908,-637,-1166
45616,-350,-24,-918
45622,-1222,-32,-368
45629,-1186,-430,-174
45635,-839,-191,-471
45641,-730,-223,-413
45647,-987,-151,-198
45654,-1006,-75,-124
45660,-967,-75,-126
45666,-1035,-151,-348
45672,-983,-194,-570
45679,-896,-184,-654
45685,-956,-161,-719
45691,-994,-231,-750
45697,-724,-180,-743
45704,-648,-105,-493
45710,-723,-523,-266
45716,-905,-238,-259
45722,-824,-188,-383
45729,-752,-196,-397
45735,-689,-162,-425
45741,-662,-124,-526
45747,-634,-117,-404
45754,-901,-10,-413
45760,-1261,77,-500
45766,-1006,-13,-552
45772,-1012,57,-457
45779,-909,-97,-227
45785,-981,-261,70
45791,-1019,10,-156
45797,-1291,45,86
45804,-1039,153,-107
45810,-655,504,-305
45816,-600,401,-167
45822,-503,645,-194
45829,-609,1065,-297
45835,-739,788,-262
45841,-979,921,-304
45847,-1263,800,-309
45854,-1348,747,-357
45860,-1392,627,-524
45866,-1165,472,-463
45872,-650,460,-681
45879,-763,354,-579
45885,-936,709,-512
45891,-863,385,-124
45897,1582,1585,-1481
45904,-1142,439,-816
45910,-1204,1932,-337
45916,-1002,1767,1
45922,-1429,844,480
45929,-1284,226,290
45935,-1265,566,3
45941,-1078,574,-227
45947,-906,969,-748
45954,-195,688,-1151
45960,-60,517,-839
45966,122,438,-587
45972,-191,483,-209
45979,0,369,-322
45985,-56,389,-74
45991,-133,449,-455
45997,19,683,-688
46004,253,537,-941
46010,-116,483,-518
46016,-152,428,-404
46022,-233,632,-396
46029,-281,791,-335
46035,-253,944,-336
46041,-184,1008,-329
46047,-269,1130,-434
46054,-311,1116,-467
46060,-264,895,-652
46066,116,778,-717
46072,-444,561,-308
46079,-396,633,-266
46085,-106,787,-364
46091,-163,808,-150
46097,-130,704,-119
46104,-174,697,-50
46110,-195,759,-62
46116,-242,1073,-120
46122,-381,1366,-143
46129,-150,1458,-544
46135,-180,1372,-392
46141,-52,982,-345
46147,195,706,-515
46154,222,625,-510
46160,-268,688,-47
46166,-321,691,-17
46172,-91,729,-211
46179,-12,785,-232
46185,-151,952,-170
46191,-403,1178,-100
46197,-436,1279,-255
46204,-343,1111,-324
46210,-32,1114,-488
46216,-211,945,-166
46222,-323,731,-186
46229,-126,798,-284
46235,-86,805,-109
46241,-51,652,-9
46247,-62,615,5
46254,-405,781,89
46260,-201,1215,-143
46266,-275,1221,-52
46272,-280,1168,9
46279,-321,1312,-64
46285,188,1447,-567
47513,0,929,-283
47538,-4,882,-258
47545,-5,902,-259
47551,-11,921,-263
47557,0,931,-264
47563,5,938,-271
47570,-8,921,-268
47576,-2,952,-269
47582,8,958,-283
47588,-3,921,-265
47595,13,911,-264
47601,14,916,-267
47607,0,919,-258
47613,7,933,-268
47620,-2,961,-282
47626,-9,966,-273
47632,14,928,-276
47638,10,926,-273
47645,0,919,-259
47651,3,920,-262
47657,1,940,-271
47663,2,936,-274
47670,-4,922,-268
47676,-9,935,-271
47682,-6,923,-272
47688,-7,930,-273
47695,-5,949,-285
47701,-10,953,-285
47707,-16,937,-260
47713,24,928,-279
47720,6,922,-269
47726,-1,920,-269
47732,1,926,-268
47738,17,929,-271
47745,30,921,-273
47751,18,929,-264
47757,8,919,-263
47763,18,931,-275
47770,25,961,-290
47776,29,939,-288
47782,31,910,-286
47788,21,913,-287
47795,14,930,-292
47801,5,905,-294
47807,0,948,-310
47813,-66,996,-275
47820,-45,964,-262
47826,14,967,-266
47832,39,844,-219
47838,110,797,-277
47845,79,738,-214
47851,177,787,-280
47857,170,928,-345
47863,241,939,-321
47870,394,851,-357
47876,503,784,-253
47882,737,689,-450
47888,877,514,-715
47895,781,459,-1150
47901,562,487,-1456
47907,140,751,-1257
47913,-206,1100,-701
47920,404,920,-1595
47926,-203,581,-975
47932,-419,977,-295
47938,-382,555,189
47945,-1030,382,610
47951,-849,299,532
47957,-639,306,421
47963,-524,946,206
47970,-460,865,209
47976,-646,924,251
47982,-784,1035,192
47988,-838,1137,97
47995,-909,771,177
48001,-937,539,189
48007,-1071,456,95
48013,-1092,348,251
48020,-873,383,171
48026,-944,392,343
48032,-813,301,398
48038,-875,399,520
48045,-791,403,560
48051,-701,616,593
48057,-736,588,701
48063,-614,706,625
48070,-856,1036,784
48076,-536,930,598
48082,-333,465,314
48088,234,480,-218
48095,489,-232,-675
48101,-156,539,321
48107,-13,1871,-627
48113,296,1990,204
48120,566,1384,535
48126,121,960,256
48132,425,422,10
48138,544,1007,79
48145,696,114,483
48151,691,917,304
48157,1129,426,93
48163,829,408,-60
48170,929,432,18
48176,717,540,59
48182,885,335,-114
48188,819,437,-40
48195,899,409,-56
48201,895,493,-52
48207,854,400,-75
48213,922,388,-168
48220,841,386,-118
48226,825,397,-160
48232,804,563,-12
48238,885,591,-8
48245,1079,576,-159
48251,1191,637,-104
48257,1228,41,-868
48263,1059,-395,-921
48270,759,-383,-976
48276,684,-254,-1159
48282,561,-328,-1169
48288,124,-394,-909
48295,-227,-204,-1197
48301,-295,-360,-1643
48307,-395,-54,-1867
48313,-683,7,-1987
48320,-1736,-239,-1996
48326,1448,755,-1996
48332,-1998,581,-1996
48338,-1994,-238,1998
48345,1977,-1998,-1996
48351,-961,-1945,1998
48357,-766,1617,69
48363,-1643,605,1998
48370,466,629,1326
48376,-1371,766,1998
48382,205,-645,-453
48388,-698,707,504
48395,184,353,291
48401,-140,226,1548
48407,-155,370,1683
48413,-327,607,1612
48420,-327,-372,605
48426,-284,140,618
48432,-14,54,649
48438,-1,-4,1260
48445,-249,449,1776
48451,-460,115,1065
48457,-453,-56,463
48463,-405,129,667
48470,-21,155,630
48476,-422,233,1499
48482,-408,459,1341
48488,-532,254,898
48495,-544,-12,563
48501,-472,-98,640
48507,-235,-184,906
48513,85,-95,1228
48520,-307,141,1214
48526,-534,-12,1132
48532,-489,-144,746
48538,-615,-116,927
48545,-314,-185,929
48551,-28,31,1221
48557,78,119,932
48563,49,2,909
48570,-372,-29,1079
48576,-430,-96,775
48582,-595,102,1174
48588,-392,77,1067
48595,-283,-23,1039
48601,-348,-92,981
48607,-251,-174,924
48613,-172,68,1020
48620,-316,179,1111
48626,26,134,942
48632,-132,119,953
48638,-203,104,1029
48645,-164,-11,984
48651,-139,-24,985
