time,wx,wy,wz
60946,-0.5,0.8,1.4
60953,-0.3,1.1,2.3
60959,-0.1,3.0,0.9
60965,-0.9,2.1,-0.6
60971,-1.3,2.7,-0.9
60978,-2.3,1.8,0.0
60984,-1.4,2.3,-0.4
60990,0.2,1.1,-1.9
60996,-0.1,1.3,-0.4
61003,-0.8,3.1,0.0
61009,0.0,1.7,-0.7
61015,-0.4,2.8,-0.7
61021,-2.1,3.7,1.2
61028,-2.1,2.5,0.0
61034,-1.1,2.5,0.2
61040,1.9,0.0,-0.7
61046,1.0,0.0,-0.1
61053,0.3,0.7,3.4
61059,-2.1,1.0,3.7
61065,-3.1,1.5,2.0
61071,-4.1,3.4,-0.1
61078,-4.9,4.2,-0.4
61084,-3.1,10.7,-0.8
61090,-0.4,10.3,-2.1
61096,-1.1,10.5,-1.5
61103,-2.1,9.2,0.8
61109,-1.0,6.2,2.8
61115,2.2,0.7,2.7
61121,2.8,-0.9,2.2
61128,0.3,-1.8,0.7
61134,-1.3,0.5,-1.8
61140,-1.3,2.1,-3.4
61146,-1.8,2.5,-1.4
61153,-0.7,2.3,-0.6
61159,0.0,2.5,0.7
61165,-0.2,-0.9,2.8
61171,-1.0,-2.1,3.0
61178,0.7,-1.9,3.5
61184,1.6,-1.8,2.7
61190,0.0,0.5,2.1
61196,-2.4,2.5,2.3
61203,-3.0,2.1,1.1
61209,-2.1,0.9,0.3
61215,-2.6,0.0,-0.6
61221,-2.2,-0.5,0.3
61228,-3.0,-1.9,1.2
61234,-2.3,-0.6,1.8
61240,-0.1,-1.8,0.0
61246,-0.1,-0.9,0.6
61253,-1.8,2.3,0.9
61259,-1.6,2.7,0.0
61265,-0.6,1.8,-0.4
61271,-0.4,2.4,-1.1
61278,-0.5,1.7,-0.2
61284,-0.1,1.8,-0.6
61290,-0.5,2.4,0.2
61296,-0.7,2.1,0.0
61303,0.4,3.1,-1.4
61309,0.0,4.1,-1.1
61315,-2.6,5.8,-0.4
61321,-1.7,4.5,0.0
61328,0.2,3.9,0.4
61334,0.0,3.6,1.1
61340,0.6,2.8,0.2
61346,-0.1,2.6,0.8
61353,-1.4,1.6,0.9
61359,-1.7,1.9,-0.6
61365,0.0,1.4,-1.5
61371,-1.1,2.4,0.0
61378,-2.1,1.4,0.0
61384,-1.4,0.7,0.3
61390,-0.4,0.0,0.2
61396,-1.4,0.2,0.1
61403,-0.9,-0.1,0.2
61409,-1.2,0.0,0.7
61415,-1.1,1.6,0.4
61421,0.2,2.1,-0.5
61428,1.0,0.2,-0.5
61434,-0.6,2.5,0.9
61440,-1.1,2.3,0.3
61446,-0.2,2.7,0.7
61453,0.0,2.6,0.3
61459,-1.3,2.4,-0.7
61465,-1.4,2.4,0.4
61471,-1.6,0.2,0.7
61478,-2.0,1.1,1.4
61484,-1.2,0.3,0.6
61490,-0.4,-1.4,0.9
61496,-1.4,-0.2,1.5
61503,-2.8,-1.4,1.6
61509,-2.4,0.0,1.1
61515,-2.3,-0.2,0.2
61521,-2.1,0.9,0.3
61528,-1.3,1.2,0.9
61534,-0.7,-0.8,1.6
61540,-0.6,0.7,2.5
61546,1.9,-0.4,0.7
61553,3.2,0.0,1.3
61559,0.0,4.0,3.2
61565,0.0,2.4,2.1
61571,0.0,3.4,1.7
61578,-1.3,3.6,1.2
61584,-1.4,2.5,0.4
61590,-0.5,2.7,0.5
61596,-0.4,0.4,1.4
61603,-1.0,1.1,0.6
61609,-0.2,-3.1,-1.2
61615,-1.0,-2.3,0.0
61621,0.0,0.3,-0.4
61628,0.7,0.2,-0.9
61634,-0.4,1.9,0.1
61640,-2.2,1.7,0.9
61646,-2.3,2.0,0.0
61653,-0.7,2.0,0.7
61659,-1.4,4.7,1.5
61665,0.4,2.3,1.8
61671,3.2,0.3,1.6
61678,2.4,3.9,2.2
61684,2.5,7.0,1.6
61690,1.6,8.5,0.7
61696,-0.6,8.5,2.5
61703,-1.3,4.8,2.1
61709,-1.1,1.6,1.8
61715,-3.1,-3.0,3.9
61721,-0.9,-4.3,2.8
61728,1.3,-9.2,0.9
61734,4.5,-3.2,-4.7
61740,6.1,15.4,-6.8
61746,13.8,36.8,-1.9
61753,23.4,47.6,9.2
61759,38.0,56.5,30.0
61765,39.7,87.9,22.6
61771,27.3,140.5,33.7
61778,18.6,179.4,-8.9
61784,-15.3,218.6,-3.0
61790,-68.8,179.0,-61.3
61796,-67.6,36.1,-31.5
61803,5.4,284.9,26.9
61809,-105.4,108.8,37.5
61815,-81.5,76.3,-6.9
61821,-88.8,151.5,-101.0
61828,-22.1,72.1,-18.6
61834,41.5,86.6,2.4
61840,73.8,83.3,13.3
61846,43.6,84.5,-17.0
61853,65.7,96.0,-24.7
61859,57.4,103.3,-39.1
61865,57.1,101.5,-47.3
61871,27.9,93.5,-43.9
61878,-11.1,87.5,-50.0
61884,-7.8,78.8,-26.1
61890,-21.0,58.2,-33.2
61896,-36.0,38.8,-23.6
61903,-49.0,-18.0,-16.6
61909,-64.6,-17.4,-14.7
61915,-68.8,-90.1,-1.9
61921,-78.1,-179.1,-1.8
61928,-89.9,-177.4,29.4
61934,-70.0,-193.4,32.3
61940,82.0,-195.4,61.5
61946,210.7,-289.3,10.9
61953,254.5,-150.8,-246.8
61959,108.9,69.3,51.2
61965,-62.5,-381.5,80.9
61971,-64.7,-169.6,95.8
61978,-45.7,-35.6,129.8
61984,-148.2,-213.5,115.1
61990,-73.0,-146.3,101.5
61996,32.9,-91.3,75.6
62003,-13.3,-101.7,81.7
62009,-10.0,-85.1,54.9
62015,-17.3,-51.3,58.0
62021,-4.1,-39.1,16.5
62028,-1.0,2.1,5.1
62034,-7.0,-7.9,5.7
62040,-1.9,-2.3,5.4
62046,-4.5,-12.4,14.5
62053,-4.5,-2.4,13.4
62059,-3.3,-0.1,17.6
62065,-1.4,-5.3,10.7
62071,-2.4,-5.8,4.7
62078,-4.9,-8.9,4.6
62084,-4.0,-5.9,2.3
62090,-3.0,-0.2,4.3
62096,-4.0,2.6,5.9
62103,-3.7,0.4,4.9
62109,-4.6,-0.6,0.2
62115,-0.4,4.0,-1.9
62121,-0.6,2.3,1.1
62128,-4.1,0.5,3.0
62134,-2.6,-7.2,2.9
62140,3.3,-22.9,3.0
62146,15.4,-52.3,31.4
62153,29.6,-124.8,101.8
62159,46.4,-189.9,166.8
62165,38.8,-235.7,193.8
62171,24.9,-209.3,193.4
62178,3.5,-206.7,167.6
62184,-10.5,-205.1,124.7
62190,-16.1,-153.1,97.0
62196,-28.0,-120.5,78.9
62203,-48.3,-64.7,62.3
62209,-44.1,35.8,40.2
62215,-59.4,12.1,13.5
