time,wx,wy,wz
50630,0.5,2.1,-0.4
50637,-0.7,1.8,-1.7
50644,-2.3,1.5,-2.2
50650,-3.6,1.6,-1.9
50656,-2.1,2.9,-2.1
50662,0.0,3.7,-1.3
50669,0.0,2.7,0.0
50675,-1.5,2.3,0.4
50681,-1.2,-0.1,0.0
50687,-1.0,1.1,0.6
50694,-0.7,1.0,0.7
50700,-0.4,0.6,0.2
50706,-1.7,1.2,0.8
50712,-0.7,0.4,-0.7
50719,3.5,-3.1,-2.5
50725,10.0,-3.7,1.5
50731,-3.0,4.1,5.3
50737,-3.0,2.5,4.2
50744,-0.9,1.6,2.4
50750,-1.4,-1.7,2.3
50756,3.9,-0.4,0.4
50762,-0.8,3.3,0.7
50769,-2.5,3.2,-1.2
50775,-2.0,3.0,-2.1
50781,-0.9,2.5,-0.5
50787,-0.5,-0.7,0.0
50794,-0.5,-1.8,-0.4
50800,-1.6,-1.4,0.2
50806,-0.5,-0.9,0.2
50812,0.0,1.8,-0.1
50819,-1.3,2.0,-0.4
50825,-2.1,3.3,-0.5
50831,-1.8,3.7,-0.7
50837,-1.5,3.0,-0.6
50844,-0.7,2.1,-0.3
50850,-1.2,0.7,0.8
50856,-2.3,0.6,1.1
50862,-1.4,-0.2,1.3
50869,0.1,1.6,1.3
50875,-1.5,1.6,1.7
50881,-0.7,2.3,1.2
50887,0.0,2.5,1.5
50894,-0.2,2.2,1.4
50900,-0.4,0.6,0.9
50906,0.0,0.7,1.1
50912,1.9,2.5,1.8
50919,4.6,-1.8,2.3
50925,2.8,1.7,1.6
50931,-0.2,1.0,0.4
50937,0.0,1.7,-0.5
50944,3.0,1.4,-1.4
50950,6.0,-0.3,0.2
50956,5.9,0.0,1.3
50962,0.7,-0.9,3.0
50969,0.7,0.4,1.8
50975,2.2,0.0,0.9
50981,1.4,1.1,0.1
50987,-1.4,3.6,-0.5
50994,-2.1,2.5,-1.6
51000,-1.3,3.0,-1.4
51006,-1.8,3.1,-0.4
51012,-1.1,1.7,-0.3
51019,-0.9,-0.2,0.4
51025,0.1,1.4,0.9
51031,0.9,-0.2,0.1
51037,0.4,1.2,-0.1
51044,-1.5,1.9,-0.9
51050,-1.6,2.0,-1.2
51056,-1.4,4.6,-0.2
51062,-2.5,2.6,-1.1
51069,-2.8,2.3,-0.7
51075,-1.5,1.8,-0.2
51081,-1.1,3.0,0.1
51087,-1.1,1.0,0.6
51094,-0.4,1.2,0.2
51100,-1.8,1.8,0.2
51106,-2.1,1.0,0.3
51112,-1.4,1.1,0.5
51119,-1.9,0.8,0.9
51125,-1.5,1.0,0.7
51131,-1.8,-1.2,0.2
51137,-1.8,0.2,0.6
51144,-2.6,0.2,1.2
51150,-1.1,1.1,0.4
51156,-1.6,0.7,0.6
51162,-2.7,0.9,1.6
51169,-2.1,0.8,2.5
51175,-0.2,-0.5,2.1
51181,-0.2,0.1,2.1
51187,-0.4,1.4,2.5
51194,-0.6,3.2,2.3
51200,0.2,3.7,1.8
51206,0.5,2.8,1.2
51212,-0.2,2.9,0.9
51219,-2.0,2.8,1.3
51225,-0.9,2.5,1.8
51231,-0.4,0.8,3.2
51237,0.3,0.0,5.8
51244,2.8,0.1,8.8
51250,7.6,-0.5,14.4
51256,24.2,-3.0,24.0
51262,46.2,-11.5,34.0
51269,67.3,-20.5,48.3
51275,79.5,-47.0,67.5
51281,94.5,-61.3,73.8
51287,95.2,-114.6,59.2
51294,96.7,-71.5,24.7
51300,32.3,-23.2,-23.8
51306,19.5,70.2,-88.5
51312,-23.2,89.3,-142.7
51319,-46.6,137.5,-213.2
51325,-114.3,193.4,-219.8
51331,-147.8,171.2,-200.1
51337,-195.5,284.4,-277.7
51344,-275.0,101.9,-202.5
51350,-233.5,68.5,-132.0
51356,-245.6,62.7,-26.0
51362,-110.7,89.7,52.2
51369,-222.6,-305.6,97.0
51375,-82.6,80.7,189.2
51381,-110.2,-137.6,237.7
51387,-143.5,61.9,135.0
51394,-70.4,163.1,58.0
51400,-14.6,393.6,56.6
51406,-10.5,446.6,56.9
51412,1.7,208.4,39.4
51419,60.6,61.1,43.4
51425,27.4,134.6,-35.3
51431,8.5,120.9,-51.6
51437,9.0,70.7,-28.2
51444,5.3,91.3,-32.8
51450,-23.1,62.2,-51.7
51456,-22.1,25.9,-68.3
51462,8.0,-121.2,-67.5
51469,30.1,-135.6,-43.0
51475,16.5,-214.4,-41.5
51481,66.5,-222.9,-47.1
51487,97.7,-461.3,-64.2
51494,411.5,-89.5,-56.4
51500,614.1,190.4,-79.7
51506,335.0,512.7,199.4
51512,59.7,7.4,139.3
51519,30.5,-93.2,156.5
51525,-50.6,-120.9,191.9
51531,-94.2,-84.7,197.7
51537,-53.5,-177.5,182.2
51544,9.6,-125.4,72.3
51550,-23.7,-54.1,80.2
51556,-7.5,-72.1,42.7
51562,14.4,-12.1,32.9
51569,-10.3,-61.3,60.9
51575,-4.4,-42.0,44.8
51581,0.6,-49.7,32.8
51587,-8.6,-16.6,13.0
51594,3.7,-13.0,11.2
51600,2.0,-27.9,18.0
51606,-3.9,-21.9,13.0
51612,-2.2,-6.8,6.8
51619,2.9,7.7,-2.9
51625,1.6,0.0,0.1
51631,-2.1,-8.8,0.7
51637,-0.2,-6.2,-2.0
51644,-0.7,7.0,-5.7
51650,-1.7,-9.0,2.1
51656,8.1,-44.1,32.6
51662,31.0,-99.0,65.3
51669,39.0,-210.0,117.1
51675,45.9,-257.1,177.9
51681,52.2,-263.5,170.0
51687,29.1,-238.3,146.5
51694,-6.6,-235.6,128.0
51700,-30.4,-187.0,100.8
51706,-22.2,-63.8,68.7
51712,-42.3,-37.8,24.2
51719,-51.5,47.9,3.2
51725,-125.9,117.8,10.9
51731,-170.2,246.4,-10.1
51737,-165.2,134.3,2.6
51744,-212.8,530.3,144.6
51750,-476.8,2292.8,33.9
51756,-569.8,683.2,-1409.5
51762,-1878.1,-2263.8,286.9
51769,455.2,481.9,488.2
51775,-73.6,-93.0,-75.3
51781,34.5,-1.0,-39.7
51787,-22.8,-8.9,0.0
51794,28.2,-3.2,18.2
51800,7.9,-97.7,-60.6
51806,49.6,50.3,30.4
51812,31.9,-44.2,-0.9
51819,13.2,-28.3,-0.3
51825,20.7,34.0,19.4
51831,-21.3,-87.2,22.0
51837,17.7,0.9,-7.2
51844,-23.4,-28.5,12.6
51850,15.4,12.8,-24.9
51856,-9.0,-6.9,-20.4
51862,5.3,26.0,-3.9
51869,-24.2,-3.1,4.9
51875,-15.5,-21.0,-12.3
51881,-15.6,-13.8,6.3
51887,-2.4,13.0,-29.4
51894,-8.5,-19.3,-21.6
51900,-25.6,6.2,1.8
51906,-25.3,-11.2,14.7
51912,-28.1,27.0,12.0
51919,-38.5,-29.0,32.9
51925,-51.9,-67.4,20.6
51931,-30.2,-36.3,15.1
51937,-39.6,27.5,8.8
51944,-39.4,-55.0,60.9
51950,-14.2,-21.4,22.4
51956,-16.2,52.4,-22.9
51962,-20.8,-36.1,56.6
51969,-30.0,20.8,5.8
51975,-19.9,-21.7,29.2
51981,-28.4,-42.7,40.2
51987,-21.2,-57.1,37.5
51994,-15.6,18.4,-7.3
52000,-19.2,12.1,-20.6
52006,-12.6,36.4,-11.2
52012,-12.7,37.5,0.0
52019,-9.5,-2.4,18.7
52025,-10.0,-17.9,-21.4
52031,10.5,-7.2,1.4
52037,28.1,-40.6,-28.8
52044,29.9,68.0,-40.6
52050,30.3,15.1,-24.2
52056,21.2,35.1,-8.1
52062,8.4,23.8,32.6
52069,-6.5,3.7,21.5
