time,wx,wy,wz
64699,-0.1,2.5,-0.4
64706,-2.3,1.2,-1.1
64712,-2.3,4.5,-1.3
64718,-2.5,-1.6,-1.4
64724,-1.4,4.8,-1.4
64731,-1.6,0.0,0.0
64737,-1.6,-1.0,2.1
64743,0.0,8.9,1.1
64749,-3.5,-5.2,0.3
64756,-1.5,3.0,0.2
64762,-2.8,1.4,-0.5
64768,-1.1,4.2,-0.3
64774,-0.8,1.0,-0.1
64781,-0.8,3.1,0.9
64787,0.9,0.2,1.1
64793,2.1,3.4,0.4
64799,-1.9,-1.3,0.9
64806,-0.4,2.6,0.2
64812,-1.1,1.4,1.1
64818,-0.6,1.4,0.6
64824,0.0,3.5,0.1
64831,-1.8,-1.1,1.4
64837,-0.8,0.1,1.4
64843,0.1,5.7,1.1
64849,1.6,1.5,0.5
64856,-0.2,-0.5,0.8
64862,-0.9,4.4,0.2
64868,-2.3,-2.5,0.8
64874,0.6,4.2,0.9
64881,0.0,1.9,0.3
64887,-1.3,0.3,0.2
64893,-0.4,4.6,0.9
64899,-2.8,-1.3,0.7
64906,-2.5,2.2,0.4
64912,-0.5,5.6,0.0
64918,-1.3,-0.9,0.4
64924,-1.4,5.3,0.9
64931,-0.3,-1.5,1.1
64937,0.3,2.8,0.9
64943,-1.0,4.4,0.0
64949,-1.0,0.0,-0.7
64956,0.0,4.0,-0.2
64962,-1.1,3.5,0.0
64968,-0.8,0.6,-0.8
64974,0.9,4.5,-0.4
64981,-1.0,2.5,0.2
64987,-2.7,-0.4,0.4
64993,-0.4,5.1,0.8
64999,0.0,0.0,0.2
65006,0.2,0.8,0.4
65012,0.4,2.3,-0.6
65018,1.8,1.8,-2.7
65024,8.0,4.8,-4.1
65031,21.8,13.2,-6.0
65037,39.5,24.1,-12.1
65043,37.7,-19.6,-24.7
65049,37.4,30.5,-32.2
65056,15.1,20.9,-25.8
65062,16.7,36.7,-20.3
65068,20.3,47.7,-16.8
65074,3.0,12.7,-14.7
65081,-3.7,15.8,-13.5
65087,-3.7,29.6,-5.9
65093,1.8,24.3,5.8
65099,12.8,56.6,10.9
65106,10.7,26.5,9.2
65112,26.4,39.4,-0.2
65118,51.5,121.5,1.1
65124,5.6,-24.3,24.0
65131,-0.9,27.8,33.3
65137,-34.5,-10.1,25.5
65143,-42.0,-23.3,13.9
65149,-31.5,-12.0,4.8
65156,-30.5,-49.9,8.4
65162,-22.8,-62.0,12.5
65168,-15.8,-80.4,7.7
65174,-5.3,-72.8,6.9
65181,14.4,-83.0,17.3
65187,48.9,40.1,9.5
65193,-13.8,-170.5,10.9
65199,-10.5,-86.5,8.0
65206,15.7,46.3,-1.8
65212,-21.2,-92.6,4.7
65218,-36.6,-105.2,14.8
65224,-26.1,-62.4,16.7
65231,-18.1,-62.8,21.4
65237,-12.0,-52.7,24.5
65243,-13.4,-61.7,26.8
