time,wx,wy,wz
135290,7.5,-38.0,48.6
135379,9.8,120.4,49.6
135391,-28.7,-79.8,-27.6
135398,5.7,82.6,-41.7
135485,0.3,6.1,36.1
135501,13.7,-60.4,34.1
135508,9.8,25.9,23.4
135514,5.6,-129.8,-2.0
135521,28.4,164.5,17.5
135527,-38.0,-92.1,6.3
135533,-13.4,29.9,-27.1
135539,-0.9,82.8,-64.6
135546,22.3,136.0,-45.0
135552,-27.8,-58.8,-35.7
135558,-28.3,45.4,-37.6
135564,-18.4,20.5,-51.9
135571,38.1,98.3,-15.4
135577,31.7,-26.7,33.8
135583,18.2,-107.2,88.5
135589,4.9,-92.5,68.4
135596,-12.5,92.5,17.5
135602,-28.9,-2.3,-43.6
135608,-3.6,-19.5,-13.3
135614,3.5,0.7,13.0
135621,-9.5,-3.1,6.5
135627,-19.1,14.8,-0.3
135633,-4.2,72.3,14.4
135639,-26.8,-30.0,27.3
135646,-38.0,-83.2,20.5
135652,-4.3,-20.6,10.7
135658,8.8,-43.2,34.7
135664,-5.3,106.7,38.5
135671,-43.6,-111.3,0.0
135677,2.8,79.3,-47.9
135683,22.6,174.7,-66.4
135689,17.8,124.9,-38.5
135696,-15.4,19.3,-57.3
135702,-22.1,20.1,-72.4
135708,-8.6,41.7,-41.7
135714,25.1,98.2,10.9
135721,10.4,-9.2,33.2
135727,-11.4,-162.1,60.9
135733,7.5,90.7,33.8
135739,-12.8,-38.5,-36.4
135746,1.0,14.4,-61.7
135752,10.9,56.7,2.7
135758,-10.6,-2.5,24.0
135764,-6.7,21.0,-2.4
135771,-5.3,53.0,-22.7
135777,-7.4,44.6,-8.6
135783,-22.6,-6.3,-5.9
135789,-9.6,114.9,-18.7
135796,-20.6,-42.8,-23.8
135802,18.2,191.0,-6.3
135808,-24.0,42.8,-41.8
135814,-13.5,71.6,-68.0
135821,-1.2,179.9,-94.9
135827,13.2,195.6,-74.9
135833,-8.4,83.2,-63.2
135839,-22.2,67.2,-77.0
135846,-23.7,55.9,-64.6
135852,-7.7,115.5,-24.5
135858,-32.9,-3.9,-9.5
135864,-29.0,-52.5,3.0
135871,0.8,158.8,-7.4
135877,-30.5,-39.6,-46.9
135883,-24.3,47.1,-52.5
