time,ax,ay,az
90192,-1998,621,104
90198,-1552,442,-161
90205,-1645,55,-66
90211,-1290,38,-506
90217,-1402,205,-666
90223,-1398,171,-698
90230,-1309,250,-933
90236,-1147,403,-767
90242,-1072,533,-531
90248,-1131,295,-305
90255,-1087,187,-728
90261,-1009,139,-1058
90267,-1035,265,-1107
90273,-1012,253,-1067
90280,-930,-25,-995
90286,-756,-139,-826
90292,-660,-171,-685
90298,-604,-365,-520
90305,-640,-286,-411
90311,-768,-252,-557
90317,-883,100,-645
90323,-1148,456,-316
90330,-1085,383,-269
90336,-1015,225,-394
90342,-1000,374,-378
90348,-1050,484,-177
90355,-812,577,-176
90361,-1001,548,64
90367,-902,540,77
90373,-1044,654,210
90380,-1126,719,238
90386,-1401,811,209
90392,-1256,570,150
90398,-820,572,3
90405,-805,441,59
90411,-787,386,110
90417,-658,461,76
90423,-567,495,84
90430,-731,466,186
90436,-637,375,106
90442,-657,294,57
90448,-713,393,68
90455,-458,767,43
90461,-513,1305,298
90467,-404,1189,435
90473,-639,963,616
90480,-686,858,610
90486,-736,820,455
90492,-719,654,338
90498,-784,537,308
90505,-697,523,253
90511,-591,647,255
90517,-441,1053,175
90523,-493,1303,152
90530,-90,1247,6
90536,104,834,-95
90542,-538,180,363
90548,191,678,-82
90555,142,850,-77
90561,-165,1550,192
90567,-26,819,139
90573,-87,811,159
90580,-180,834,108
90586,-260,846,248
90592,-154,952,248
90598,-94,1038,253
90605,-57,1089,127
90611,-124,1032,169
90617,-285,1355,-3
90623,-186,1027,-99
90630,-264,859,-38
90636,-370,947,147
90642,-556,984,347
90648,-453,943,192
90655,-363,1022,134
90661,-261,903,143
90667,-237,856,314
90673,-26,802,288
90680,189,764,233
90686,219,673,238
90692,432,743,-140
90698,194,613,-105
90705,-1502,-1370,144
90711,176,554,-489
90717,-345,1309,-385
90723,685,750,-1006
90730,0,1028,-684
90736,141,710,-634
90742,327,643,-824
90748,319,540,-535
90755,309,543,-444
90761,-1551,1880,-23
90767,123,1216,-626
90773,-229,966,-567
90780,-114,850,-772
90786,-51,967,-565
90792,-723,961,-158
90798,-330,801,-305
90805,129,709,-485
90811,-100,754,-208
90817,-280,716,-71
90823,-91,752,-254
90830,-205,917,-161
90836,-287,993,-116
90842,-137,1015,-267
90848,-166,1074,-471
90855,510,956,-795
90861,-313,812,-226
90867,-85,674,-489
90873,30,793,-734
90880,-133,947,-674
90886,-213,884,-590
90892,-340,805,-450
90898,-272,802,-476
90905,-45,796,-662
90911,-226,867,-472
90917,-339,916,-338
90923,-101,813,-423
90930,3,732,-488
90936,-102,820,-461
90942,-285,945,-400
90948,-205,860,-476
90955,-171,784,-442
90961,-148,831,-429
90967,-132,906,-448
90973,-146,892,-447
90980,-165,843,-427
90986,-171,828,-424
91382,-83,890,-317
91450,-130,857,-464
91546,-108,889,-354
91552,-99,878,-332
91558,-136,887,-303
91564,-150,929,-288
91571,-96,896,-274
91577,-26,840,-289
91583,-18,906,-264
91589,-5,939,-260
91596,1,882,-211
91602,25,912,-245
91608,-2,987,-258
91614,-1,964,-282
91621,-25,923,-291
91627,-67,903,-269
91633,-57,894,-291
91639,-64,922,-309
91646,-60,947,-345
91652,-90,917,-331
91658,-75,902,-345
91664,-127,901,-329
91671,-123,887,-347
91677,-142,885,-358
91683,-144,898,-370
91689,-143,902,-369
91696,-149,895,-362
91702,-129,885,-371
91708,-113,879,-380
91714,-123,889,-369
91721,-110,910,-378
91727,-107,931,-382
91733,-116,893,-364
91739,-106,861,-364
91746,-102,882,-370
91752,-94,876,-379
91758,-118,884,-358
91764,-98,891,-375
91771,-86,888,-379
91777,-92,882,-383
91783,-121,885,-373
91789,-91,880,-384
91796,-85,886,-390
91802,-83,876,-391
91808,-103,877,-374
91814,-75,868,-379
91821,-41,839,-422
91827,-127,866,-398
91833,-115,888,-428
91839,-97,876,-425
91846,-90,879,-416
91852,-65,870,-425
91858,-91,879,-417
91864,-114,800,-426
91871,-172,690,-395
91877,-71,614,-458
91883,-120,675,-410
91889,33,799,-498
91896,318,896,-676
91902,334,1055,-586
91908,503,864,-611
91914,511,657,-788
91921,284,484,-791
91927,231,665,-864
91933,207,357,-1133
91939,85,407,-1053
91946,134,488,-1174
91952,22,358,-1572
91958,-209,1028,-945
91964,-1117,1094,-131
91971,427,711,-1464
91977,-1161,694,-248
91983,-87,575,-1068
91989,-433,239,-378
91996,-1160,211,640
92002,-685,619,228
92008,-307,749,-138
92014,-543,835,67
92021,-497,1033,32
92027,-591,1147,-40
92033,-817,828,117
92039,-897,566,248
92046,-893,469,242
92052,-930,608,205
92058,-942,674,204
92064,-897,636,293
92071,-779,600,283
92077,-896,604,421
92083,-638,496,438
92089,-623,812,621
92096,-632,682,817
92102,-722,569,1038
92108,-585,349,879
92114,-51,201,263
92121,-89,362,-195
92127,-1746,-765,1872
92133,-1923,1663,1936
92139,-149,1487,251
92146,580,891,-373
92152,232,568,187
92158,555,484,192
92164,560,470,223
92171,711,540,459
92177,739,556,364
92183,818,599,178
92189,774,299,359
92196,776,460,426
92202,621,326,516
92208,747,874,-174
92214,746,307,441
92221,163,667,1081
92227,658,567,638
92233,341,683,389
92239,693,362,149
92246,749,615,100
92252,759,499,159
92258,516,726,362
92264,800,695,436
92271,606,741,459
92277,900,474,152
92283,732,687,311
92289,642,834,252
92296,557,584,384
92302,719,1023,518
92308,1118,983,506
92314,1292,1544,457
92321,1312,841,483
92327,1584,190,-779
92333,1265,-490,-1151
92339,738,-347,-1478
92346,-83,-566,-1068
92352,230,-435,-1653
92358,-1143,321,-1319
92364,-886,-66,-1996
92371,-1998,-278,-1996
92377,-179,-140,-1996
92383,-1998,1533,-1693
92389,-1998,-1403,1998
92396,1998,-1073,-1996
92402,-337,-1998,1394
92408,-937,1595,-650
92414,624,-1716,261
92421,-1943,1940,1987
92427,-759,-752,1829
92433,-1556,1903,1906
92439,-1258,-856,884
92446,-1229,3,282
92452,-584,-91,314
92458,-88,288,283
92464,-611,174,738
92471,-707,419,809
92477,-669,298,1083
92483,-900,-325,557
92489,-825,257,518
92496,-677,64,782
92502,-826,184,748
92508,-759,114,618
92514,-941,89,678
92521,-721,170,669
92527,-744,98,792
92533,-662,191,745
92539,-635,40,707
92546,-771,247,766
92552,-668,-4,708
92558,-702,187,787
92564,-621,115,713
92571,-675,214,812
92577,-695,197,731
92583,-642,156,769
92589,-535,143,829
92596,-548,82,829
92602,-587,140,832
92608,-480,81,813
92614,-515,100,874
92621,-498,42,867
92627,-482,55,969
92633,-541,182,814
92639,-660,259,697
