time,wx,wy,wz
93722,-8.1,2.2,27.4
93790,4.3,15.4,-25.6
93820,-9.2,-21.5,-43.1
93826,-2.8,-14.0,-43.0
93833,-4.7,-30.8,-32.3
93839,-2.2,8.1,-25.1
93845,1.1,22.6,-11.7
93851,8.1,19.5,5.3
93858,18.2,11.2,19.6
93864,22.0,-2.7,15.3
93870,19.8,-8.1,12.2
93876,14.2,-5.1,6.0
93883,4.8,28.0,-9.5
93889,-9.4,7.7,-4.2
93895,-9.7,-18.9,7.2
93901,-18.0,-16.6,4.3
93908,-9.8,-28.9,7.0
93914,-3.2,-11.9,9.9
93920,2.1,12.9,1.3
93926,11.0,19.6,-6.3
93933,18.4,26.4,-20.7
93939,5.4,45.8,-19.1
93945,4.0,15.9,-4.4
93951,4.8,15.5,-19.7
93958,8.1,21.8,-33.3
93964,8.1,27.7,-41.5
93970,-8.7,26.5,-43.8
93976,-4.2,55.7,-42.0
93983,-11.6,73.7,-42.7
93989,-18.9,101.2,-42.5
93995,-13.5,106.9,-27.0
94001,5.8,127.4,-18.9
94008,1.9,168.4,-28.3
94014,-10.3,93.1,13.7
94020,-3.6,-43.3,6.5
94026,-36.3,51.6,-19.1
94033,-48.5,91.9,-33.1
94039,-37.7,55.7,-17.0
94045,-24.6,6.7,3.9
94051,-10.0,9.7,8.4
94058,-0.2,19.4,5.7
94064,17.0,3.2,5.4
94070,27.2,12.2,-4.0
94076,27.5,38.5,-19.1
94083,24.7,38.3,-31.3
94089,44.6,11.9,-36.0
94095,55.6,24.9,-41.8
94101,30.1,16.4,-57.3
94108,25.5,-30.6,-50.7
94114,36.8,-24.8,-33.7
94120,38.7,-16.8,-25.2
94126,25.2,-6.4,-19.3
94133,0.2,2.0,-7.8
94139,-4.1,-7.5,7.4
94145,12.8,-30.5,14.2
94151,14.0,-18.0,-1.8
94158,-6.5,-4.6,-13.5
94164,-24.6,5.6,-11.0
94170,-16.0,7.7,-4.6
94176,-3.5,6.5,1.8
94183,4.4,12.3,8.5
94189,3.6,0.0,5.9
94195,0.6,-11.0,-1.8
94201,2.4,-13.2,-6.5
94208,2.1,-10.8,-7.0
94214,-0.2,0.7,-3.4
94220,-1.6,8.4,-0.2
94226,-1.1,8.2,2.7
94233,0.1,2.3,2.4
94239,0.4,-4.7,0.7
94245,-1.1,-2.5,-1.6
94251,-0.9,-1.4,-1.8
94258,-0.9,0.7,-0.8
94264,0.6,1.6,0.0
94270,-0.3,1.7,0.6
94276,-1.3,3.4,-0.2
94283,-0.7,-3.5,-1.3
94289,0.7,-3.7,-0.3
94295,3.4,-0.8,-0.7
94301,2.1,-2.8,-1.3
94308,1.1,-3.6,-0.1
94314,3.2,-6.5,-4.0
94320,-0.7,0.0,-5.2
94326,-0.8,1.7,-3.9
94333,-0.7,3.5,-4.2
94339,-0.4,-0.7,-4.1
94345,-0.2,2.4,-5.7
94351,2.1,-3.0,-6.7
94358,5.3,1.1,-7.7
94364,7.2,0.0,-10.0
94370,13.3,-2.7,-12.8
94376,17.5,-5.3,-13.7
94383,24.5,-4.5,-18.5
94389,30.0,2.1,-24.9
94395,41.5,-18.6,-32.4
94401,44.8,-35.9,-41.9
94408,40.5,-37.0,-52.5
94414,21.5,-46.0,-61.3
94420,-24.6,-18.9,-87.1
94426,-65.2,13.5,-92.7
94433,-80.3,82.8,-92.7
94439,-113.4,113.6,-67.1
94445,-185.7,130.1,-30.5
94451,-277.5,170.1,23.1
94458,-235.3,422.5,37.0
94464,-186.7,560.3,18.2
94470,-122.7,269.7,-6.6
94476,-90.1,268.1,19.9
94483,116.8,185.1,31.3
94489,72.6,152.3,-4.0
94495,78.3,162.0,-19.0
94501,57.5,100.5,-26.9
94508,36.2,109.4,-37.5
94514,39.4,87.5,-59.4
94520,-21.9,78.8,-94.5
94526,-13.4,96.0,-92.0
94533,-34.8,30.3,-53.6
94539,-26.3,26.1,-63.2
94545,-41.3,-42.1,-18.5
94551,-10.9,-31.2,2.5
94558,-87.1,-59.4,48.0
94564,-44.8,-114.8,68.3
94570,65.9,-175.2,9.4
94576,236.4,-122.0,-25.8
94583,374.4,-137.1,-28.7
94589,-266.4,55.9,-49.1
94595,185.0,29.3,-20.7
94601,34.8,-56.1,40.6
94608,-17.5,-174.2,118.3
94614,-169.2,-295.4,212.5
94620,-66.9,-161.2,153.0
94626,-19.0,-118.3,152.2
94633,-15.2,-82.2,116.6
94639,31.3,-55.5,53.8
94645,-33.1,-79.2,90.5
94651,1.4,-113.4,21.3
94658,-8.1,-83.3,38.2
94664,0.3,-122.5,60.7
94670,18.7,-55.6,47.4
94676,25.9,-117.3,26.1
94683,8.9,-50.3,22.3
94689,2.1,-22.1,4.0
94695,0.4,-12.5,-0.4
94701,-3.9,-33.3,-3.2
94708,11.3,-4.9,-2.5
94714,10.6,-8.8,3.4
94720,10.9,-9.3,6.5
94726,10.7,-15.4,12.3
94733,7.4,-13.9,15.2
94739,7.4,-8.5,12.6
94745,6.0,0.8,3.0
94751,1.4,-2.1,8.8
94758,0.9,-3.5,8.3
94764,0.4,-4.7,7.0
94770,1.7,-8.4,4.4
94776,0.8,2.5,2.3
94783,5.6,-4.9,2.3
94789,1.2,-5.4,7.2
94795,8.7,-21.5,21.8
94801,33.9,-70.7,50.4
94808,58.5,-108.2,84.2
94814,83.9,-155.6,115.1
94820,97.7,-172.7,133.3
94826,97.4,-215.7,146.0
94833,90.7,-220.5,153.7
94839,64.6,-165.4,131.6
94845,23.1,-184.6,93.2
94851,-13.5,-100.9,68.6
94858,-40.1,-15.0,38.0
94864,-107.5,74.2,11.7
94870,-233.3,212.8,78.0
94876,-239.4,81.5,53.1
94883,-282.1,356.9,146.6
94889,-858.4,1892.4,34.0
94895,63.8,1707.3,-605.4
94901,-1628.0,-2232.8,480.6
94908,421.1,180.3,703.2
94914,-99.8,-94.9,-59.2
94920,159.6,112.3,-61.1
94926,-58.1,118.0,50.7
94933,79.3,-19.0,-35.4
94939,28.7,45.7,30.0
94945,9.5,32.1,-9.8
94951,30.1,-2.5,13.1
94958,21.9,46.4,-34.3
94964,-0.1,15.1,21.7
94970,5.1,45.5,-13.4
94976,24.6,7.9,2.1
94983,7.7,3.7,16.5
94989,9.6,2.1,-11.6
94995,12.4,-26.8,24.9
95001,5.6,9.8,12.0
95008,23.8,-28.2,-3.5
95014,3.0,-1.9,13.5
95020,-11.4,1.8,-18.4
95026,-12.1,-18.6,-13.2
95033,-20.8,-3.7,-2.8
95039,-21.5,-2.3,12.0
95045,-23.6,1.1,5.5
95051,-17.0,-7.4,19.3
95058,-16.7,-0.4,9.4
95064,-17.9,68.3,15.4
95070,1.6,-43.8,-14.6
95076,36.5,65.0,-61.4
95083,-45.9,23.7,73.8
95089,-12.6,18.0,9.8
95095,-13.7,-5.6,22.4
95101,-17.3,19.3,36.5
95108,-3.7,19.5,9.1
95114,-9.3,14.9,18.3
95120,-3.2,-21.0,23.1
95126,-11.6,-16.4,36.1
95133,-8.2,-1.8,12.0
95139,-9.0,4.6,4.6
95145,-10.9,5.1,-3.5
95151,-9.1,3.8,7.7
95158,-7.8,12.6,-4.4
95164,-16.0,3.0,1.2
95170,-15.6,-8.1,4.3
95176,-5.8,-12.5,-5.7
95183,-21.9,-7.8,20.3
95189,-8.4,0.3,6.0
95195,-5.5,0.9,0.5
95201,-3.2,3.7,7.5
95208,2.3,-8.1,-6.3
95214,-4.1,9.3,-3.4
95220,-4.9,0.0,-2.4
95226,-1.8,-23.7,4.4
