time,wx,wy,wz
64450,101.6,85.4,41.7
64457,52.7,99.8,4.1
64463,30.7,110.0,-17.9
64469,45.5,84.9,-29.8
64475,30.1,48.3,-33.5
64482,61.4,-24.1,-32.2
64488,25.1,38.0,-16.6
64494,72.9,7.8,-21.3
64500,-2.5,46.5,-35.0
64507,-18.0,-23.1,-47.5
64513,16.0,13.2,-43.8
64519,-9.3,-17.9,-24.8
64525,24.6,11.2,-12.3
64532,-15.8,13.2,-41.3
64538,-61.1,33.5,-59.7
64544,-26.8,73.1,-77.9
64550,7.2,18.9,-55.9
64557,28.7,-17.0,4.6
64563,-34.5,-86.1,15.6
64569,-25.2,-33.3,43.2
64575,-9.6,8.2,24.8
64582,-32.9,13.4,21.8
64588,-52.0,-18.2,30.8
64594,-18.9,41.4,23.6
64600,-29.6,56.3,21.4
64607,-107.3,90.2,26.9
64613,43.1,-66.1,-2.8
64619,55.1,-110.8,34.4
64625,4.9,-63.4,29.4
64632,-19.6,-12.6,50.3
64638,-4.3,-51.5,25.1
64644,112.9,-133.8,60.9
64650,13.3,-29.3,62.5
64657,23.2,-49.4,84.5
64663,20.5,-63.2,94.0
64669,-15.0,-51.7,91.7
64675,-69.0,82.2,49.9
64682,-56.4,-90.0,-28.0
64688,51.1,-55.5,-27.8
64694,55.8,-47.3,-91.8
64700,133.7,-24.7,-131.8
64707,198.5,-54.6,-104.7
64713,309.5,-129.7,53.7
64719,201.3,-67.3,-39.9
64725,195.7,-136.8,12.6
64732,118.4,-51.8,31.2
64738,75.6,-36.8,22.1
64744,30.3,-106.0,-25.1
64750,80.3,157.9,3.2
64757,79.8,-387.8,86.0
64763,-7.0,-192.4,121.1
64769,-72.2,-122.3,70.2
64775,-31.2,-67.6,-36.1
64782,11.4,64.8,-70.7
64788,6.5,3.2,-44.2
64794,-13.8,3.4,-8.8
64800,-25.7,30.8,-10.2
64807,-13.1,36.8,-16.5
64813,-29.0,5.1,-5.6
64819,-41.4,-13.0,13.5
64825,-13.9,5.1,16.1
64832,-18.0,-25.2,-3.7
64838,-30.1,-16.1,-14.1
64844,-19.0,32.4,-17.0
64850,20.7,69.3,-5.0
64857,9.1,32.6,12.2
64863,-21.7,20.6,0.5
64869,-30.1,13.3,1.6
