time,ax,ay,az
83678,-594,118,952
83684,-532,122,836
83691,-536,127,870
83697,-540,120,862
83703,-573,122,868
83709,-560,106,865
83716,-579,105,880
83722,-573,93,892
83728,-538,103,860
83734,-532,78,867
83741,-504,70,837
83747,-541,65,866
83753,-539,103,885
83759,-552,100,862
83766,-528,64,865
83772,-531,71,829
83778,-558,68,851
83784,-566,54,898
83791,-505,60,877
83797,-565,94,896
83803,-618,133,843
83809,-724,193,804
85134,469,674,-244
85141,544,734,-535
85147,566,693,-650
85153,430,626,-537
85159,291,668,-418
85166,404,582,-508
85172,419,630,-486
85178,519,650,-711
85184,542,597,-766
85191,389,570,-557
85197,385,554,-551
85203,443,580,-564
85209,556,591,-626
85216,596,560,-589
85222,597,578,-542
85228,602,560,-537
85234,604,536,-561
85241,560,558,-571
85247,527,586,-558
85253,515,586,-556
85259,506,586,-570
85266,502,585,-602
85272,462,596,-591
85278,426,603,-571
85284,417,602,-559
85291,451,611,-584
85297,466,626,-585
85303,457,642,-565
85309,476,634,-575
85316,481,610,-578
85322,458,603,-549
85328,474,603,-565
85334,452,603,-547
85341,489,577,-565
85347,504,570,-553
85353,537,569,-582
85359,518,589,-568
85366,511,613,-577
85372,505,618,-584
85378,503,615,-587
85384,477,586,-566
85391,431,535,-572
85397,376,474,-549
85403,320,440,-552
85409,355,431,-654
85416,384,438,-733
85422,366,488,-750
85428,365,494,-767
85434,327,433,-843
85441,324,425,-870
85447,346,476,-875
85453,399,579,-874
85459,565,506,-917
85466,739,509,-1086
85472,843,496,-1141
85478,847,302,-1023
85484,955,145,-1277
85491,811,-92,-1204
85497,690,-74,-1340
85503,389,-81,-967
85509,384,223,-1117
85516,25,966,-868
85522,-899,992,108
85528,-323,566,151
85534,-109,66,281
85541,-74,270,328
85547,-78,530,208
85553,-218,1092,91
85559,-284,1022,197
85566,-633,1120,507
85572,-692,1054,364
85578,-1155,1015,528
85584,-923,645,321
85591,-971,647,417
85597,-789,503,534
85603,-706,840,436
85609,-908,955,573
85616,-998,721,880
85622,-815,510,680
85628,-664,415,1002
85634,-1822,412,1980
85641,702,170,-174
85647,188,1071,1126
85653,-595,1207,1000
85659,109,590,703
85666,374,526,248
85672,401,-284,-326
85678,498,-600,-1388
85684,1591,730,-766
85691,-624,1996,1146
85697,179,1500,559
85703,699,1001,129
85709,872,673,-451
85716,895,-1503,1047
85722,1326,1230,-262
85728,544,1373,843
85734,574,1173,411
85741,678,-52,-410
85747,788,72,-424
85753,1043,612,13
85759,467,784,484
85766,701,719,287
85772,818,491,-77
85778,736,608,-73
85784,862,589,-98
85791,769,501,-122
85797,806,606,-148
85803,833,583,-190
85809,753,579,-139
85816,716,487,-120
85822,684,462,-105
85828,749,554,-79
85834,880,623,-120
85841,843,624,-60
85847,806,520,-129
85853,742,481,-160
85859,705,466,-179
85866,734,539,-80
85872,666,603,-7
85878,845,616,-175
85884,1000,582,-231
85891,1151,919,-152
85897,1496,863,-776
85903,1201,415,-1002
85909,877,8,-1150
85916,624,-48,-1179
85922,167,-221,-1004
85928,-14,-329,-1262
85934,-409,-279,-1228
85941,-400,-141,-1656
85947,-1492,-196,-1996
85953,-1998,-575,-1996
85959,-325,141,-1996
85966,-1998,1274,-1996
85972,-1998,-1998,1998
85978,-1998,1996,-1996
85984,-1998,-1139,-64
85991,-1092,622,1065
85997,-528,151,1947
86003,-1422,423,1611
86009,-746,-488,588
86016,-690,-249,117
86022,-562,229,129
86028,-271,54,649
86034,-856,124,1345
86041,-737,411,1122
86047,-780,-175,794
86053,-523,156,278
86059,-436,290,402
86066,-390,380,772
86072,-326,315,1307
86078,-294,878,1322
86084,-494,152,1117
86091,-428,139,379
86097,-407,241,329
86103,-332,100,462
86109,-466,549,965
86116,-276,238,1164
86122,-255,666,1470
86128,-717,-663,255
86134,-943,-127,853
86141,-395,304,964
86147,-323,14,1001
86153,-700,136,897
86159,-721,-55,847
86166,-576,92,883
86172,-423,215,958
86178,-428,93,939
86184,-556,228,904
86191,-489,77,894
86197,-514,-10,1012
86203,-397,103,847
86209,-446,24,873
86216,-487,-16,918
86222,-511,-51,920
86228,-507,7,910
86234,-449,48,842
86241,-499,8,894
86247,-531,120,869
86253,-573,78,910
86259,-511,105,852
86266,-537,60,903
86272,-497,24,857
86278,-477,2,850
86284,-507,-87,884
86291,-466,-47,860
