time,wx,wy,wz
182517,0.5,-26.7,-37.5
182590,11.9,107.2,-51.8
182733,7.2,167.1,-59.3
182742,-17.4,31.7,-25.3
182748,-15.3,-22.4,-32.0
182755,-2.6,-45.3,-26.4
182761,24.1,47.9,12.1
182767,23.6,-6.5,49.2
182773,17.0,-147.6,73.5
182780,21.4,-161.2,48.8
182786,-10.9,53.5,10.7
182792,-32.3,41.0,-31.5
182798,1.1,-65.3,-61.1
182805,51.8,-47.8,-18.0
182811,29.1,-54.9,35.4
182817,10.4,-50.7,53.0
182823,10.4,-22.1,37.8
182830,22.1,-56.2,23.3
182836,24.0,-53.6,28.4
182842,-6.3,-33.8,31.4
182848,-2.5,-148.6,33.0
182855,19.6,60.9,25.5
182861,-27.4,36.5,36.2
182867,-9.7,-53.0,-9.5
182873,8.6,62.4,-73.9
182880,3.4,8.4,-54.3
182886,4.6,-42.6,-6.7
182892,13.5,-81.6,-0.4
182898,28.2,-69.5,-1.8
182905,46.5,-72.4,21.7
182911,47.6,-87.7,46.7
182917,42.7,-109.6,66.0
182923,67.6,-244.1,62.2
182930,45.7,10.5,20.2
182936,0.8,-30.5,-10.0
182942,-5.2,-64.9,-26.0
182948,21.9,-107.7,-15.4
182955,34.2,-111.9,15.2
182961,14.0,-85.6,38.8
182967,1.6,-90.0,34.3
182973,9.3,-78.9,26.3
182980,23.8,-133.6,52.0
182986,51.4,-183.3,70.1
182992,54.6,-7.7,46.7
182998,29.2,-107.9,54.3
183005,13.2,-70.6,24.1
183011,11.3,-89.6,-29.5
183017,29.5,-27.8,-56.2
183023,30.7,-56.2,0.1
183030,16.1,-47.9,16.8
183036,-0.9,-88.3,2.0
183042,2.0,-116.9,14.3
183048,31.4,-103.8,38.2
183055,40.2,-90.8,49.9
183061,33.8,-114.9,41.0
183067,26.9,-60.1,-8.0
183073,11.4,-41.0,-31.0
183080,15.5,-58.5,-25.6
183086,31.2,-50.8,-14.5
183092,32.4,-20.5,-3.4
183098,16.7,-22.8,24.4
183105,9.1,-48.5,38.5
183111,7.0,-97.3,34.1
183117,17.2,-9.1,16.1
