time,wx,wy,wz
259761,-11.4,133.7,28.2
259767,-7.7,-44.1,-21.0
259780,10.0,145.1,-50.6
259796,-17.4,8.9,-75.2
259806,18.6,88.2,-25.2
259822,26.8,-104.4,45.0
259831,-42.0,-75.0,20.3
259843,10.7,-40.4,-2.8
259852,0.2,-3.7,39.2
259866,10.0,66.3,-3.2
259873,7.4,-24.1,24.5
259890,24.1,-162.0,9.4
259897,-16.5,70.2,46.4
259909,-20.3,-49.2,-14.4
259925,14.3,-6.3,-19.1
259937,-26.1,37.5,-26.7
259949,-7.9,31.2,-24.0
259956,14.1,117.3,16.3
259967,10.5,-89.8,51.0
259974,-6.6,-0.8,28.9
259986,-3.7,-29.4,-82.3
259992,20.5,30.1,-24.8
260000,3.5,-92.9,38.6
260007,-5.2,-33.8,30.0
260014,3.8,44.1,20.7
260026,22.6,-104.0,35.8
260032,11.9,9.4,10.6
260059,-15.3,98.2,-58.7
260070,-12.8,67.8,-47.4
260087,-29.4,3.9,-86.8
260138,23.4,-45.0,19.3
260206,3.9,163.8,-71.7
260223,-19.6,21.0,-48.7
260286,5.2,-36.1,38.7
260300,2.4,26.3,12.6
260307,20.5,-83.2,49.7
260352,13.8,140.7,-53.6
260377,14.0,-23.4,14.5
260387,25.7,-28.2,37.1
260393,30.0,-105.4,70.1
260399,44.1,-177.5,39.9
260406,-3.2,167.3,19.6
260412,-22.1,-67.8,-38.7
260418,1.3,-170.3,-69.5
260424,34.7,19.3,-12.9
260431,30.8,-49.7,26.1
260437,31.3,-35.1,31.0
260443,46.1,-65.1,32.2
260449,41.5,-124.9,54.1
260456,25.8,-96.3,76.9
260462,59.6,-227.4,47.6
260468,65.8,236.6,37.6
260474,1.5,-118.4,67.8
260481,-10.7,-74.6,38.0
260487,-23.5,-73.2,-41.7
260493,-18.4,119.0,-70.8
260499,19.4,-93.6,-26.6
260506,27.5,-79.3,19.8
260512,21.5,-82.3,31.7
260518,31.0,-113.2,29.2
260524,36.3,-76.3,28.7
260531,43.4,-132.6,39.9
260537,54.1,-93.8,54.3
260543,72.8,-167.2,42.7
260549,30.9,-52.6,23.3
260556,-1.6,-35.2,-13.0
260562,-1.7,-78.0,-24.2
260568,22.5,8.8,-4.4
260574,47.5,-160.8,10.5
260581,36.8,-32.9,31.5
260587,19.6,-76.1,33.3
260593,15.8,-87.2,29.8
260599,23.3,-95.9,45.7
260606,48.5,-168.4,46.4
260612,35.9,126.2,39.8
260618,18.2,-68.5,10.3
260624,20.4,-108.7,-22.1
260631,38.5,-67.6,-12.5
260637,24.7,-84.4,26.1
260643,13.2,-62.5,23.3
260649,20.2,-77.8,4.5
260656,36.6,-72.5,3.1
260662,22.6,29.0,4.9
260668,10.5,-130.3,-10.9
260674,10.7,-39.8,-29.5
260681,22.8,43.0,-9.0
260687,23.6,-29.5,27.2
260693,20.2,-54.9,39.9
260699,5.8,-71.2,34.9
260706,7.5,-105.8,15.5
260712,1.1,115.0,-1.1
260718,-9.9,1.0,-10.2
260724,-5.8,-22.6,-8.1
260731,2.4,9.1,-0.4
260737,-5.1,27.0,17.4
260743,-12.3,11.0,15.5
260749,-9.1,-18.0,0.8
260756,0.7,-3.6,4.9
260762,5.3,6.7,7.0
260768,-0.4,27.8,3.1
260774,-3.3,5.3,2.3
260781,-0.5,-10.4,0.2
260787,1.4,3.7,-0.9
260793,1.2,13.7,-1.6
260799,-3.3,4.4,1.1
260806,-4.7,-1.6,0.6
260812,-1.8,1.3,-0.9
260818,1.5,5.4,-0.2
260824,1.6,3.0,2.8
260831,1.7,1.7,4.2
260837,3.8,-5.2,3.9
260843,6.0,-6.8,2.3
260849,6.3,-6.6,0.8
260856,3.5,3.9,1.9
260862,-2.5,-2.2,3.4
260868,-4.5,-0.1,4.7
260874,-3.9,-3.1,1.4
260881,-5.9,-0.6,1.2
260887,-4.6,0.4,2.3
260893,-3.7,0.7,1.0
260899,-2.5,1.1,0.7
260906,-0.5,2.5,0.4
260912,-2.5,0.4,0.9
260918,-2.1,-3.6,4.0
260924,-0.2,-7.2,3.5
260931,0.4,16.5,3.2
260937,-6.0,8.0,6.7
260943,-8.1,10.9,8.7
260949,-8.9,6.9,6.1
260956,-8.3,1.5,4.9
