time,wx,wy,wz
303307,18.2,-23.5,-2.1
303325,14.8,-0.4,0.4
303332,7.3,-2.3,-0.5
303354,-5.8,2.2,0.4
303368,-6.2,11.7,-0.2
303382,-3.7,3.0,1.4
303398,0.4,10.1,0.3
303419,-2.5,0.8,9.8
303429,-3.8,1.1,7.1
303438,-6.0,0.0,5.3
303450,1.1,2.0,-3.4
303461,-9.1,4.7,4.7
303482,-7.8,2.1,0.2
303522,-1.5,-11.0,-2.9
303529,5.3,-12.1,1.4
303546,8.4,-7.6,5.2
303595,-1.8,10.6,4.4
303602,-0.9,8.9,4.5
303609,0.3,5.7,3.2
303625,4.1,4.6,2.1
303642,5.1,-0.7,1.6
303682,1.6,2.1,1.9
303688,0.1,-0.2,1.4
303694,0.7,-0.5,3.6
303700,3.1,3.0,5.1
303707,5.5,1.7,2.7
303713,3.7,-0.3,4.2
303719,1.3,2.3,5.2
303725,-0.6,1.1,4.9
303732,-0.4,1.1,3.2
303738,-1.8,2.9,2.1
303744,-2.3,4.4,2.3
303750,-2.8,-1.0,0.9
303757,-1.8,2.7,1.7
303763,-0.1,5.6,2.0
303769,1.2,4.5,-0.6
303775,-0.9,0.5,-3.5
303782,-1.8,2.7,-5.6
303788,-2.4,1.3,-5.2
303794,-3.2,7.2,-5.2
303800,-3.2,7.4,-5.3
303807,-2.5,5.3,-4.2
303813,-1.1,9.3,-2.5
303819,-0.7,3.2,-1.7
303825,-0.2,4.6,-2.2
303832,-1.6,2.5,-2.5
303838,-2.2,0.4,-2.3
303844,-1.8,-0.8,-1.7
303850,-0.5,-1.3,-0.6
303857,-0.7,1.7,-1.2
303863,-1.4,3.7,-0.3
303869,-2.0,0.2,0.0
303875,-2.1,0.7,0.8
303882,-0.8,-2.1,0.2
303888,-1.0,-0.1,0.0
303894,0.0,-0.4,0.0
303900,0.2,-1.3,0.4
303907,-1.0,-0.2,2.8
303913,-0.5,-2.1,1.4
303919,-1.3,2.1,-0.2
303925,-2.5,3.2,0.3
303932,-1.7,2.8,0.2
303938,0.9,4.8,-0.2
303944,0.2,5.4,0.1
303950,0.0,3.0,2.7
303957,1.9,2.5,1.5
303963,3.7,4.2,1.8
303969,5.6,1.4,4.2
303975,2.6,3.2,0.7
303982,-1.3,-2.7,1.8
303988,-1.1,-1.4,2.0
303994,-0.3,4.2,0.9
304000,-0.7,5.8,2.0
304007,-2.1,3.5,2.3
304013,-1.8,3.4,1.9
304019,-0.2,4.5,2.3
304025,1.1,-0.2,3.2
304032,2.0,2.4,4.7
