time,wx,wy,wz
154517,-3.0,6.0,-9.0
154529,-4.5,3.8,-0.9
154538,-3.1,2.0,4.2
154545,-2.3,-2.9,1.8
154585,-4.6,-3.0,4.1
154595,-3.9,-3.2,5.2
154606,-4.6,-0.9,3.8
154613,-5.3,3.4,1.1
154627,-4.4,0.4,1.6
154634,-3.2,-0.6,1.9
154702,-3.7,9.2,-4.6
154728,0.0,6.4,0.0
154787,1.6,2.5,-0.4
154808,1.4,0.9,0.7
154814,0.6,1.6,1.3
154820,0.3,-1.9,1.5
154827,-0.3,-0.7,0.3
154833,0.2,-2.1,-0.2
154839,1.2,1.1,-0.4
154845,0.4,0.3,0.4
154852,-0.4,1.1,1.6
154858,-0.9,1.4,2.0
154864,-0.4,-1.0,0.3
154870,-0.7,-0.2,0.2
154877,-1.4,-0.2,0.7
154883,-1.5,0.8,2.1
154889,-1.6,1.2,2.1
154895,-1.5,2.1,0.4
154902,-1.7,0.0,0.7
154908,-2.5,0.7,1.9
154914,-2.2,0.7,3.2
154920,-1.8,4.0,3.5
154927,-1.9,2.5,1.6
154933,-2.5,-0.1,1.9
154939,-3.7,-2.1,3.2
154945,-5.0,-3.5,3.9
154952,-3.7,-3.2,4.6
154958,-1.1,-4.4,3.7
154964,0.6,-2.3,2.0
154970,2.8,-2.3,0.6
154977,3.4,-1.3,-1.4
154983,1.6,0.8,-2.6
154989,-0.9,3.7,-3.6
154995,-3.5,4.2,-3.0
155002,-3.7,4.9,-0.9
155008,-2.8,1.1,-1.2
155014,-0.3,2.3,-2.7
155020,0.9,4.9,0.6
155027,-0.3,4.8,0.5
155033,-0.7,2.1,-0.9
155039,-1.4,1.3,-2.0
155045,-2.0,3.6,-0.9
155052,-1.9,2.3,0.4
155058,-0.7,3.0,1.2
155064,0.0,1.6,0.7
155070,0.2,3.2,0.1
155077,0.6,-0.1,-0.2
155083,-0.8,-1.0,0.7
155089,-1.1,-1.1,2.8
155095,-1.2,-0.9,2.6
155102,-0.1,-0.4,1.2
155108,0.6,0.2,0.9
155114,1.8,-1.1,1.6
155120,2.3,-0.4,2.1
155127,4.0,0.4,3.4
155133,9.5,2.7,6.0
155139,14.9,-3.5,10.0
155145,14.4,-6.7,8.1
155152,10.8,-10.0,5.4
155158,10.8,-14.0,4.1
155164,9.8,-19.6,0.0
155170,9.5,-27.2,2.8
155177,14.2,-24.4,9.3
155183,24.0,-19.9,10.7
155189,23.9,-14.7,9.1
155195,17.0,-12.1,8.1
155202,8.9,-4.2,9.2
155208,3.0,-1.4,7.4
155214,-0.9,1.4,2.8
155220,0.7,2.8,2.6
155227,17.9,2.1,1.4
155233,34.3,-33.0,8.1
155239,50.3,-96.2,25.6
155245,72.7,-186.2,25.6
155252,77.3,-188.7,36.9
155258,35.1,-161.3,35.1
155264,-31.2,1.4,-9.1
155270,-42.6,272.6,7.3
155277,-76.0,252.1,5.5
155283,-77.6,360.2,65.0
155289,-127.6,25.4,93.5
155295,-146.7,163.4,31.7
155302,-150.0,410.9,-3.5
155308,-144.6,240.8,-13.6
155314,-97.7,194.3,-5.1
155320,131.0,210.1,-20.8
155327,191.9,138.0,-52.2
155333,-29.5,157.5,-96.8
155339,-39.6,235.2,-81.9
155345,13.1,205.5,-62.5
155352,-23.8,171.3,-66.2
155358,15.7,145.4,-33.1
155364,24.7,38.2,-47.5
155370,-20.9,65.8,-79.5
155377,-47.1,-24.7,-66.9
155383,-49.0,2.1,-35.0
