time,wx,wy,wz
168629,22.9,62.2,-25.4
168640,26.8,8.4,-19.1
168675,31.7,53.5,14.4
168682,61.7,13.6,32.2
168708,-13.5,46.2,30.3
168725,-43.6,-19.3,31.2
168793,-15.7,11.3,22.0
168800,-19.5,9.7,16.1
168858,-3.0,-12.8,17.2
168870,-15.4,1.1,17.7
168877,-20.4,-118.0,8.9
168891,-44.0,-301.6,-31.9
168907,-3.7,-4.2,21.9
168915,-4.0,-15.8,-11.9
168931,3.5,-23.7,-28.4
168957,-29.3,-15.1,42.9
168963,-18.3,35.2,47.1
168969,-3.7,-25.2,50.1
168975,10.1,-3.2,33.3
168982,6.7,-3.3,28.6
168988,5.2,13.1,4.7
168994,-4.0,12.9,11.0
169000,-17.0,23.3,16.5
169007,-14.2,29.2,5.4
169013,-2.3,52.4,2.3
169019,-11.6,28.3,5.3
169025,-14.0,-14.4,1.2
169032,-0.4,18.8,-15.4
169038,-4.3,-4.2,-25.0
169044,4.9,29.6,-17.5
169050,-3.5,8.8,-9.3
169057,5.8,2.9,-29.4
169063,3.4,11.4,-33.8
169069,-5.6,10.0,-18.9
169075,-4.6,7.9,-19.1
169082,-15.4,17.2,-17.0
169088,-18.6,8.8,-1.7
169094,-15.6,10.5,1.6
169100,-2.3,-7.3,3.7
169107,6.0,-12.9,0.1
169113,15.4,-14.4,0.0
169119,10.8,-17.2,-10.7
169125,10.5,0.6,-30.2
169132,8.0,16.3,-25.6
169138,6.3,1.8,-12.8
169144,4.7,3.6,-8.7
169150,8.4,-4.5,-12.1
169157,10.9,12.9,-23.7
169163,11.9,-9.4,-28.0
169169,7.0,-1.0,-29.1
169175,-2.6,-2.5,-23.2
169182,-8.3,1.6,-14.4
169188,-11.3,3.5,-8.2
169194,-11.6,-0.4,-4.1
169200,-8.8,-0.9,-2.1
169207,-7.8,7.2,-3.3
169213,-7.5,10.8,0.9
169219,-13.5,-3.8,3.4
169225,-16.1,-3.0,2.9
169232,-10.8,-4.1,1.8
169238,-5.1,-0.6,0.1
169244,0.3,-3.5,-1.1
169250,4.6,0.9,0.6
169257,4.9,1.3,2.0
169263,3.2,-3.4,3.9
169269,0.8,-0.7,2.8
169275,-4.6,-4.3,3.0
169282,-7.4,-5.6,2.8
169288,-6.0,0.9,-0.6
169294,-3.5,-5.1,-2.7
169300,0.8,-7.6,-2.5
169307,3.0,0.0,-5.4
169313,5.8,1.4,-6.0
169319,5.2,5.8,-9.1
169325,5.1,0.1,-15.1
169332,3.0,-0.8,-23.6
169338,-7.0,-6.8,-34.5
169344,-20.7,-8.4,-41.5
169350,-34.6,13.5,-48.1
169357,-53.6,21.9,-48.0
169363,-66.1,27.3,-57.1
169369,-87.7,53.9,-64.6
169375,-116.6,75.8,-64.8
169382,-124.8,82.9,-64.6
169388,-123.2,148.0,-57.7
169394,-137.0,147.9,-31.5
169400,-140.1,335.5,-21.6
169407,-127.3,455.5,-197.0
169413,-135.5,76.5,-121.9
169419,-183.6,456.7,-63.0
169425,44.7,242.3,-4.6
169432,81.2,143.8,-20.9
169438,-23.6,133.9,-37.0
169444,20.6,84.6,-28.4
169450,-5.6,57.6,-74.4
169457,-52.1,65.5,-53.6
169463,35.0,96.0,21.4
169469,-13.0,29.0,4.5
169475,-33.7,-30.5,-19.3
169482,-11.4,-94.7,-3.9
169488,76.5,-87.7,8.1
169494,45.0,-162.4,-60.9
169500,0.9,-100.6,-67.2
169507,-6.2,-313.8,17.1
169513,252.4,66.7,-104.3
169519,261.3,-103.3,97.5
169525,22.3,678.0,170.5
169532,-3.2,-400.2,155.8
169538,-44.5,81.8,261.1
169544,-81.0,-168.9,245.5
169550,-123.9,104.6,-61.3
169557,13.0,-161.9,80.2
169563,20.4,-102.9,112.2
169569,3.7,-148.2,139.9
169575,-33.8,-196.2,147.4
169582,-9.0,-142.1,38.4
169588,-31.5,-53.4,-19.3
169594,-3.9,-4.7,-7.7
169600,10.2,27.7,-8.5
169607,13.9,-38.5,4.1
169613,-1.6,-70.9,54.6
169619,-1.9,-61.6,41.3
169625,-4.1,-50.4,12.0
169632,-18.1,-10.4,7.4
169638,-17.0,1.8,2.5
169644,-10.7,-6.0,3.6
169650,-0.2,-14.9,-7.3
169657,-7.1,-14.4,-8.9
169663,-18.2,-4.9,-4.9
169669,-17.7,-6.0,-6.4
169675,-4.4,19.6,-15.2
169682,-7.3,0.0,-11.6
169688,-18.4,-10.8,5.8
169694,-11.7,0.7,1.4
169700,-1.7,23.0,-2.1
169707,8.8,22.5,-4.9
169713,-6.9,13.9,17.5
169719,-1.1,26.1,-0.2
169725,-2.3,15.8,2.1
169732,3.0,-16.3,10.0
169738,29.1,-56.5,48.7
169744,87.7,-135.8,111.2
169750,116.4,-197.8,188.7
169757,141.6,-281.7,229.3
169763,112.8,-288.2,200.9
169769,92.6,-246.7,179.9
169775,56.2,-213.0,133.9
169782,55.2,-147.5,88.2
169788,22.8,-76.6,90.3
169794,-19.6,-38.0,41.3
169800,-64.1,-22.6,-17.2
169807,-178.4,226.3,30.8
169813,-268.3,133.4,30.5
169819,-226.5,-80.5,31.9
169825,-430.3,1563.9,409.5
169832,1365.3,268.3,-297.6
169838,864.1,-845.6,-610.9
169844,497.3,1573.7,516.7
169850,33.1,237.6,-247.1
169857,63.8,206.7,-179.7
169863,19.0,63.3,90.7
169869,-1.8,-59.0,-106.9
169875,24.2,17.4,-22.1
169882,-9.4,-9.0,0.2
169888,21.7,-5.3,-9.2
169894,-7.7,11.3,-1.4
169900,5.6,22.5,-3.8
169907,-4.1,-22.3,-18.4
169913,0.2,22.0,5.3
169919,18.3,-33.8,1.7
169925,0.0,5.9,3.0
169932,-4.6,-44.8,-2.2
169938,-0.9,24.1,-0.4
169944,-8.9,-48.8,6.0
169950,1.4,12.9,-0.7
169957,-6.3,-14.4,-12.3
169963,-12.0,36.7,14.5
169969,-16.0,10.7,-30.8
169975,-16.4,-9.9,3.7
169982,-9.8,13.5,1.4
169988,-17.6,-9.3,2.1
169994,-18.5,-6.7,15.1
170000,-20.0,-24.7,7.8
170007,-10.9,-8.8,15.4
170013,-3.0,-4.4,0.0
170019,-15.6,3.8,2.3
170025,-3.7,-9.5,5.0
170032,-3.0,7.7,-12.0
170038,-17.7,-5.2,4.4
170044,-9.1,7.0,2.3
170050,-20.4,-22.3,6.8
170057,0.3,-13.8,27.3
170063,-8.2,0.0,6.5
170069,-7.4,-6.0,2.8
170075,-8.6,-13.5,0.0
170082,-20.1,3.4,0.7
170088,8.5,-7.6,14.7
170094,-10.2,18.6,-20.5
170100,-3.1,-13.7,13.7
170107,-8.8,-7.2,-2.1
170113,-3.3,-3.3,-6.3
170119,-1.6,7.0,3.5
170125,-1.8,-5.6,-5.5
170132,-4.0,-6.3,5.1
170138,-2.3,-18.3,51.1
170144,28.3,-88.1,53.8
170150,-27.3,-48.9,-16.1
170157,-10.1,7.9,-12.8
170163,-2.1,20.3,-13.5
170169,15.9,16.5,9.3
