time,wx,wy,wz
391950,-47.5,-2.3,-50.8
391980,-22.1,-38.8,4.7
391990,-31.9,-26.4,10.5
392093,0.0,-25.6,-12.9
392194,-18.1,5.8,23.3
392257,-17.2,-0.9,0.7
392269,-8.3,-7.8,-5.9
392280,-0.5,12.3,-0.2
392292,1.6,3.8,-5.1
392351,8.0,8.5,4.6
392395,-3.5,5.1,-3.0
392412,-3.4,-0.1,0.3
392433,0.6,-3.9,3.6
392458,1.0,-3.1,2.8
392479,0.4,9.2,-3.3
392501,-3.0,8.8,-7.8
392531,-1.1,3.1,-1.6
392547,-2.8,1.5,-0.9
392571,-0.7,4.5,4.0
392606,2.1,1.4,4.4
392622,0.7,3.9,2.0
392667,-1.5,3.8,-0.4
392674,-1.2,3.7,1.2
392714,0.5,3.4,-1.4
392772,-1.9,0.4,1.3
392780,-5.3,0.7,0.1
392786,-4.9,0.2,0.2
392792,-2.4,-0.4,-0.8
392798,-2.1,1.1,-0.2
392805,-2.8,-0.1,1.0
392811,-1.4,0.2,0.5
392817,-1.1,1.1,1.3
392823,0.0,-1.0,0.2
392830,-2.5,-1.8,-3.5
392836,-6.3,-0.3,-4.9
392842,-4.0,-5.1,-2.5
392848,3.7,-5.4,-2.5
392855,5.1,3.3,1.1
392861,3.2,-0.8,5.1
392867,2.4,0.4,1.0
392873,-1.8,11.2,-1.1
392880,-3.7,7.3,-1.7
392886,-6.5,4.7,-5.9
392892,-6.6,0.9,-2.6
392898,-3.9,-1.1,0.3
392905,-1.8,-0.9,-0.2
392911,-6.2,-3.2,1.4
392917,-5.3,-11.2,3.0
392923,2.7,-7.7,-0.5
392930,4.6,-8.6,-0.6
392936,1.9,-6.0,2.3
392942,1.4,1.5,0.4
392948,-0.8,3.5,-2.7
392955,-0.2,1.9,-2.8
392961,1.7,2.5,-2.3
392967,2.8,4.8,-1.1
392973,1.4,3.0,-0.1
392980,-1.6,5.9,-0.1
392986,-3.6,5.0,-0.7
392992,-3.0,3.2,-1.6
392998,-3.0,2.5,-1.6
393005,-3.7,1.8,0.3
393011,-2.7,2.1,2.0
393017,0.0,0.4,2.5
393023,1.4,-1.4,2.1
393030,0.5,1.1,2.8
393036,0.6,1.0,3.5
393042,1.6,0.7,2.8
393048,3.3,-0.5,4.1
393055,3.3,0.7,3.0
393061,1.2,-0.7,2.1
393067,-0.1,-0.9,2.1
393073,0.9,-0.2,0.7
393080,0.5,-0.9,1.1
393086,0.0,-2.8,0.8
393092,-0.4,-2.3,0.7
393098,0.9,-0.2,1.7
393105,1.6,1.4,0.1
393111,0.1,2.9,-0.5
393117,-1.7,3.7,-0.5
393123,-1.9,3.0,-1.4
393130,0.7,3.5,-0.8
393136,3.1,4.9,-0.4
393142,5.1,6.5,-1.2
393148,10.0,6.5,-8.1
393155,8.9,8.5,-5.7
393161,10.0,5.3,2.0
393167,16.2,7.0,2.1
393173,22.6,7.4,4.4
393180,32.3,8.1,7.0
393186,44.0,-0.5,4.9
393192,57.3,-23.5,8.1
393198,68.3,-30.5,18.3
393205,65.0,-74.8,43.2
393211,125.1,-68.7,95.4
393217,165.7,-34.0,117.6
393223,139.9,-118.8,74.2
393230,52.4,-86.7,46.6
393236,15.8,-76.6,31.9
393242,-52.8,-0.8,-10.2
393248,-113.8,23.1,-18.4
393255,-73.4,348.6,-17.7
393261,-136.9,288.6,-26.4
393267,-147.9,195.7,-37.8
393273,-177.4,202.0,-12.4
393280,-196.0,149.1,7.5
393286,-225.4,56.2,28.9
393292,-237.0,146.6,32.2
393298,-176.6,133.7,89.8
393305,-79.3,94.3,184.3
393311,18.2,189.8,94.9
393317,13.7,21.7,26.7
393323,107.5,-4.4,-54.7
393330,137.4,99.2,-108.2
393336,39.3,185.0,-147.7
393342,44.5,307.6,-113.9
393348,33.9,203.9,-114.5
393355,-65.5,181.5,-72.9
393361,-10.5,156.4,-54.2
393367,-76.6,137.2,-42.3
393373,-39.6,58.9,-45.2
393380,6.4,10.5,-19.3
393386,-20.1,20.7,-34.9
393392,-43.8,21.4,-19.9
393398,-9.0,23.8,8.8
393405,-25.8,-18.4,4.3
393411,-56.7,-60.4,-46.4
393417,-154.5,-62.3,-67.1
