time,ax,ay,az
485356,-450,-7,892
485363,-482,63,884
485369,-517,38,852
485375,-546,-24,888
485381,-546,-3,837
485388,-584,-35,858
485394,-611,12,870
485400,-581,-18,828
485406,-582,-20,874
485413,-587,-29,853
485419,-609,-71,856
485425,-688,-154,977
485431,-501,-113,807
485438,-501,-92,870
485444,-583,-53,864
485450,-600,-76,883
485456,-576,-61,881
485463,-554,-55,880
485469,-538,-71,883
485475,-560,-88,875
485481,-618,-14,812
485488,-713,160,705
485494,-613,141,539
485500,-375,-116,163
485506,-66,-222,-51
485513,348,-352,-160
485519,439,-543,104
485525,394,-663,478
485531,548,-406,343
485538,-153,-556,467
485544,-785,-450,236
485550,-1542,-85,94
485556,-1688,-63,-84
485563,-1998,54,-448
485569,-1998,403,-375
485575,-1850,264,-460
485581,-1606,160,-471
485588,-1279,0,-1107
485594,-1813,-147,-1481
485600,-1445,1557,-1538
485606,-1443,1303,-590
485613,-1435,-515,-320
485619,-1131,-254,-367
485625,-735,-126,-613
485631,-746,-245,-355
485638,-885,-111,-337
485644,-903,-33,-551
485650,-923,-18,-493
485656,-968,-4,-436
485663,-941,30,-482
485669,-842,113,-572
485675,-784,53,-576
485681,-707,15,-620
485688,-720,58,-628
485694,-915,27,-474
485700,-1016,5,-548
485706,-1026,-72,-560
485713,-883,3,-368
485719,-833,-12,-255
485725,-868,-81,-242
485731,-862,-51,-429
485738,-943,-16,-399
485744,-1054,72,-305
485750,-1175,109,-166
485756,-1132,63,-250
485763,-1173,-112,-507
485769,-901,-68,-571
485775,-883,26,-289
485781,-933,-123,-282
485788,-909,-232,-455
485794,-858,-229,-520
485800,-856,-144,-412
485806,-900,-185,-312
485813,-882,-116,-411
485819,-845,-146,-443
485825,-917,-113,-373
485831,-909,-122,-353
485838,-906,-81,-375
485844,-934,-70,-377
485850,-1005,-39,-382
485856,-1063,64,-387
485863,-1089,39,-321
485869,-1067,-29,-270
485875,-1031,-9,-299
485881,-990,-33,-343
485888,-977,-46,-388
485894,-958,-67,-437
485900,-916,-96,-433
485906,-884,-89,-441
485913,-834,-138,-456
485919,-815,-162,-389
485925,-838,-199,-341
485931,-862,-199,-357
485938,-879,-151,-341
485944,-872,-154,-369
485950,-916,-158,-380
485956,-978,-204,-326
485963,-1008,-144,-279
485969,-1062,-159,-241
485975,-1151,-105,-201
485981,-1281,-66,-263
485988,-1044,78,-271
485994,-976,45,-297
486000,-990,-43,-491
486006,-880,23,-528
486013,-910,161,-405
486019,-892,-36,-362
