time,wx,wy,wz
284517,-4.7,-1.4,4.2
284585,-0.5,3.9,7.1
284615,-1.3,2.9,1.2
284622,-1.4,4.3,1.4
284671,6.2,-5.1,1.1
284871,-2.0,-6.6,6.3
284877,-0.9,0.0,4.6
284883,-0.4,-3.6,1.0
284889,1.2,-3.5,-2.5
284896,-0.4,-4.1,-4.9
284902,0.1,2.4,-6.1
284908,1.8,1.0,-4.9
284914,2.6,-0.2,-4.5
284921,3.9,-3.2,-3.7
284927,5.2,-4.2,-2.2
284933,4.9,1.4,-1.1
284939,5.7,-7.0,-1.9
284946,8.4,0.9,-3.2
284952,8.3,-0.7,-5.3
284958,6.5,-0.4,-5.3
284964,6.1,6.8,-4.4
284971,6.5,7.4,-4.1
284977,5.6,8.6,-2.8
284983,3.6,9.5,-1.3
284989,0.3,8.1,-0.6
284996,-0.3,7.7,-2.9
285002,0.7,6.8,-4.2
285008,1.0,6.7,-3.3
285014,0.5,3.9,-3.4
285021,-0.4,1.7,-3.4
285027,-0.5,2.3,-3.5
285033,-0.5,-0.2,-2.8
285039,-0.1,-1.6,-1.6
285046,1.2,2.3,-0.4
285052,1.6,1.0,-1.7
285058,1.1,5.5,-1.0
285064,-0.7,1.0,1.3
285071,0.3,-0.2,3.7
285077,3.7,0.1,5.1
285083,4.2,-3.7,5.2
285089,1.0,-2.5,7.1
285096,0.2,-5.6,8.1
285102,0.7,2.6,5.3
285108,-0.9,-4.0,3.2
285114,-2.1,0.4,5.1
285121,-1.2,-4.4,4.2
285127,-1.4,-7.2,3.0
285133,0.9,-6.1,5.8
285139,4.0,-8.4,8.6
285146,7.0,8.4,9.5
285152,7.4,-6.7,7.8
285158,4.5,-3.5,6.4
285164,2.3,-3.9,5.6
285171,4.2,-3.0,5.6
285177,6.8,0.2,5.9
285183,7.0,6.7,11.7
285189,13.0,2.3,25.2
285196,18.6,-18.6,36.5
285202,18.4,-11.6,40.2
285208,-1.6,51.1,23.6
285214,-38.7,80.8,34.0
285221,-58.8,150.0,15.0
285227,-68.1,184.2,-36.2
285233,-99.8,276.3,-76.6
285239,-167.1,207.7,-62.5
285246,-182.4,-1.7,7.7
285252,-92.1,366.9,140.7
285258,33.7,-103.1,109.2
285264,-77.2,64.6,73.3
285271,53.3,26.8,24.0
285277,131.2,121.6,-34.5
285283,86.5,220.9,-119.4
285289,-58.4,137.7,-157.0
285296,-111.5,233.9,-115.7
285302,-97.3,263.2,-72.5
285308,-49.6,217.8,-22.8
