time,ax,ay,az
187230,-498,33,856
187236,-536,52,877
187243,-497,38,877
187249,-499,6,868
187255,-520,48,882
187261,-547,30,878
187268,-540,14,873
187274,-556,45,882
187280,-531,54,878
187286,-519,28,895
187293,-507,52,877
187299,-504,15,914
187305,-493,25,884
187311,-518,41,891
187318,-503,39,879
187324,-521,39,890
187330,-540,47,903
187336,-525,155,841
187343,-542,134,854
187349,-419,30,902
187355,-262,9,894
187361,-491,128,800
187368,-634,329,554
187374,-679,49,432
187380,-479,-80,176
187386,-52,-137,-60
187393,101,-291,-45
187399,573,-379,-11
187405,604,-188,61
187411,-325,-612,598
187418,-932,-65,8
187424,-1639,1200,-960
187430,-1824,1996,-1088
187436,-1569,1727,-807
187443,-1355,1533,-1430
187449,-1238,1447,-1328
187455,-1044,711,-1217
187461,-1128,715,-1248
187468,-927,678,-1085
187474,-685,486,-996
187480,-841,439,-823
187486,-878,446,-717
187493,-930,427,-435
187499,-1041,261,-429
187505,-1089,253,-498
187511,-964,451,-466
187518,-968,548,-256
187524,-1092,360,-150
187530,-1139,371,-101
187536,-1133,269,-84
187543,-1244,315,-185
187549,-1126,189,-303
187555,-883,118,-290
187561,-945,-5,-253
187568,-1065,-116,-245
187574,-970,-31,-399
187580,-866,-42,-487
187586,-959,-125,-339
187593,-885,-76,-390
187599,-896,-49,-334
187605,-932,-56,-278
187611,-1009,-5,-239
187618,-1016,-7,-213
187624,-982,83,-245
187630,-1004,49,-219
187636,-1033,94,-191
187643,-993,79,-215
187649,-988,86,-224
187655,-993,113,-206
187661,-1014,167,-196
187668,-963,102,-238
187674,-930,96,-276
187680,-973,115,-256
187686,-940,81,-290
187693,-982,38,-311
187699,-1008,23,-271
187705,-960,-16,-272
187711,-970,-7,-261
187718,-974,12,-291
187724,-985,5,-250
187730,-951,24,-266
187736,-978,-18,-228
187743,-928,23,-266
187749,-1017,80,-165
187755,-973,-36,-181
187761,-910,4,-228
187768,-944,6,-159
187774,-936,80,-124
187780,-972,34,-146
187786,-922,144,-295
187793,-981,117,-260
187799,-1096,83,-297
187805,-1121,242,-237
187811,-1031,434,-376
187818,-916,448,-368
187824,-837,256,-252
187830,-836,59,-191
187836,-1013,-28,-213
187843,-1085,13,-405
187849,-1039,70,-453
187855,-1266,-49,-485
187861,-1473,-78,-664
187868,-888,83,-547
187874,-679,128,-167
187880,-1081,224,86
187886,-1194,242,-51
187893,-950,326,-330
187899,-673,306,-377
187905,-692,192,-187
187911,-765,-30,-119
187918,-858,-92,-298
187924,-831,-119,-447
187930,-937,-155,-552
187936,-1296,27,-562
187943,-1510,287,-561
187949,-1329,666,-284
187955,-1399,661,-9
187961,-1118,392,-176
187968,-696,317,-373
187974,-501,144,-345
187980,-724,41,-156
187986,-996,-9,-210
187993,-1294,40,-455
187999,-1375,0,-691
188005,-1161,-25,-896
188011,-774,58,-733
188018,-806,99,-365
188024,-1385,137,-35
188030,-1220,16,59
188036,-821,98,98
188043,-560,110,-102
188049,-518,11,-248
188055,-703,-24,-218
188061,-862,125,-353
188068,-1246,183,-480
188074,-1709,490,-436
188080,-1568,767,-299
188086,-1410,443,-37
188093,-1339,62,-249
188099,-855,-68,-404
188105,-427,213,-402
188111,-597,127,-143
188118,-942,-136,62
188124,-1211,36,-33
188130,-1374,163,-425
188136,-1380,68,-755
188143,-1306,-103,-904
188149,-388,5,-780
188155,-727,179,-457
188161,-1250,-33,-162
188168,-1106,-139,223
188174,-761,223,109
188180,-573,71,-121
188186,-672,48,-212
188193,-898,148,-238
188199,-1270,145,-430
188205,-1535,162,-600
188211,-1796,294,-583
188218,-1238,561,-214
188224,-1467,405,-74
188230,-1361,70,-288
188236,-779,177,-363
188243,-654,305,-265
188249,-727,26,-157
188255,-734,-144,-136
188261,-829,-97,-343
188268,-978,-165,-533
188274,-970,-193,-826
188280,-1286,-248,-976
188286,-1070,334,-920
188293,-1998,514,-403
188299,-1879,-108,400
188305,-1238,131,640
188311,-582,74,-40
188318,-369,111,-223
188324,-523,17,-314
188330,-815,-77,-376
188336,-1154,-53,-645
188343,-1269,121,-964
189202,-158,521,-336
189214,-448,924,-662
189249,-703,411,-179
189275,-76,451,-219
189289,-206,1327,-443
189320,78,532,-470
189336,-327,615,-66
189348,-168,572,-222
189355,-201,693,-397
189366,-868,1219,-383
189378,-187,1325,-994
189397,-298,420,-313
189404,-108,496,-175
189423,-430,914,-99
189446,348,1209,-1144
189463,-85,829,-528
189491,-144,624,-350
189512,-317,1196,-954
