time,ax,ay,az
446272,-1070,-774,-1996
446279,-1998,741,-1996
446285,-1998,-1998,1998
446291,-1998,1995,-1996
446297,-1998,1530,-364
446304,-1599,-897,1731
446310,-1142,725,1870
446316,-1251,441,1998
446322,-721,-378,764
446329,-804,-482,168
446335,-454,92,397
446341,-303,198,702
446347,-356,528,1197
446354,-521,468,1326
446360,-464,273,791
446366,-467,-138,654
446372,-395,-1,547
446379,-452,127,786
446385,-389,173,989
446391,-653,400,1490
446397,-413,92,967
446404,-361,-195,347
446410,-452,-13,318
446416,-426,244,749
446422,-402,67,1018
446429,-849,569,1998
446435,220,-274,300
446441,-1357,-329,983
446447,-873,129,968
446454,-208,-27,914
446460,-502,-69,993
446466,-596,73,847
446472,-526,-34,884
446479,-428,57,902
446485,-506,47,983
446491,-422,-104,819
446497,-534,38,882
446504,-469,47,867
446510,-537,16,914
446516,-551,-51,883
446522,-527,-27,887
446529,-534,28,985
446535,-499,-52,1026
446541,-490,5,871
446547,-489,32,770
446554,-453,20,848
446560,-420,-108,884
446566,-498,-47,964
446572,-587,-27,920
446579,-590,-3,874
446585,-573,13,862
446591,-527,22,845
