time,ax,ay,az
343023,-643,-4,841
343030,-610,-92,877
343036,-556,-25,818
343042,-612,-25,857
343048,-581,-60,805
343055,-593,-36,831
343061,-546,-41,865
343067,-541,-66,854
343073,-659,-142,845
343080,-669,-102,837
343086,-622,-134,863
343092,-625,-118,843
343098,-615,-80,768
343105,-569,-63,839
343111,-599,-162,834
343117,-584,-179,717
343123,-605,-112,737
343130,-488,-123,909
343136,-539,-137,914
343142,-631,-34,815
343148,-342,-108,681
343155,-342,-273,463
343161,6,-105,167
343167,-79,-594,414
343173,-405,-764,386
343180,-423,-1075,438
343186,310,-926,391
343192,1315,-873,265
343198,784,-1172,332
343205,270,-1414,-703
343211,-1685,569,-1690
343217,-1760,1416,-1787
343223,-1998,1996,-1448
343230,-1751,1369,-864
343236,-1998,636,-1217
343242,-1998,599,-1676
343248,-1998,1064,-1996
343255,-684,1661,-1996
343261,-1990,105,-764
343267,-846,-50,-655
343273,-861,366,-176
343280,-963,307,-156
343286,-812,229,-317
343292,-777,195,-244
343298,-720,15,-247
343305,-650,-192,-224
343311,-673,-370,-151
343317,-636,-369,-358
346552,-214,962,48
346573,-213,964,48
346599,-200,962,32
346634,-227,960,74
346655,-223,964,58
346695,-220,951,52
346716,-227,939,64
346723,-232,938,54
346737,-234,966,50
346744,-227,949,59
346780,-220,950,44
346829,-233,953,71
346848,-224,945,52
346897,-218,946,54
346918,-230,961,62
346944,-219,974,48
346953,-230,961,57
346988,-230,953,61
347000,-244,945,72
347040,-218,940,62
347056,-230,967,49
347087,-242,952,85
347159,-227,942,48
347166,-230,956,46
347178,-218,971,33
347195,-222,954,46
347225,-228,955,63
347246,-228,955,45
347263,-230,941,68
347279,-196,942,38
347285,-221,952,62
347291,-219,960,49
347298,-228,958,61
347304,-213,960,40
347310,-213,961,44
347316,-229,956,55
347323,-225,957,46
347329,-218,953,49
347335,-209,960,41
347341,-211,963,54
347348,-209,962,45
347354,-207,957,35
347360,-224,959,56
347366,-206,953,42
347373,-221,942,62
347379,-213,940,49
347385,-212,951,48
347391,-198,953,29
347398,-216,985,49
347404,-203,958,41
347410,-203,950,43
347416,-201,954,39
347423,-200,959,31
347429,-226,965,58
347435,-224,955,53
347441,-218,956,42
347448,-219,948,49
347454,-215,955,44
347460,-221,960,47
347466,-223,956,48
347473,-213,936,45
347479,-205,950,35
347485,-214,957,32
347491,-232,960,59
347498,-210,953,34
347504,-213,942,46
347510,-194,955,17
347516,-229,949,65
347523,-214,954,39
347529,-211,949,40
347535,-217,956,45
347541,-221,950,47
347548,-232,947,57
347554,-226,948,55
347560,-212,939,34
347566,-219,960,39
347573,-224,946,50
347579,-216,950,38
347585,-227,950,44
347591,-221,951,40
347598,-214,956,33
347604,-220,960,45
347610,-214,970,26
347616,-223,957,39
347623,-211,943,29
347629,-227,945,42
347635,-228,957,30
347641,-234,959,36
347648,-212,950,21
347654,-210,954,24
347660,-211,958,29
347666,-221,933,52
347673,-210,965,9
347679,-223,959,33
347685,-210,918,32
347691,-171,706,-50
347698,-161,679,-210
347704,-296,959,-235
347710,-330,1168,224
347716,276,1267,-283
347723,434,1344,-83
347729,564,1387,-101
347735,807,1649,-697
347741,355,1227,-778
347748,-993,802,-419
347754,-803,1996,-136
347760,-186,1153,-185
347766,-485,1131,-357
347773,-1340,581,-58
347779,-431,457,-141
347785,-897,289,508
347791,166,-428,725
347798,-73,-484,1104
347804,219,137,629
347810,204,290,631
347816,26,517,727
347823,-88,714,754
347829,-104,665,802
347835,-590,1138,728
347841,-613,534,871
347848,-471,753,613
347854,-581,582,740
347860,-591,943,569
347866,-666,712,655
347873,-751,813,681
347879,-562,504,763
347885,-710,695,850
347891,-577,756,896
347898,-292,520,1031
347904,339,239,1100
347910,665,-328,1203
347916,598,-524,-177
347923,-425,1223,-838
347929,-1998,-241,1998
347935,-1428,1280,1345
347941,615,818,235
347948,608,565,786
347954,448,408,176
347960,470,1480,-755
347966,561,804,-407
347973,535,970,-298
347979,428,210,706
347985,517,636,805
347991,597,602,-32
347998,-1115,918,1001
348004,-1008,1183,1131
348010,238,1073,323
348016,185,503,462
348023,534,-581,767
348029,-21,1357,651
348035,539,858,150
348041,381,641,99
348048,600,662,136
348054,443,923,325
348060,424,1027,417
348066,417,890,346
348073,431,759,344
348079,596,813,246
348085,554,938,267
348091,520,794,187
348098,722,830,38
348104,849,946,-114
348110,860,938,-43
348116,749,948,-9
348123,1110,682,-413
348129,1150,689,-600
348135,1008,451,-756
348141,1051,73,-759
348148,667,107,-764
348154,503,-232,-867
348160,301,-247,-967
348166,-56,-357,-903
348173,-246,-307,-929
348179,-482,-342,-1262
348185,-453,-138,-1823
348191,-884,-220,-1975
348198,-1343,-1170,-1996
348204,-1897,582,-1996
348210,-1998,-460,-1996
348216,683,-1387,-24
348223,-1998,1996,1469
348229,1785,-122,-1996
348235,-1061,-617,1436
348241,-1479,634,1883
348248,-604,-161,1631
348254,-1211,628,1567
348260,-556,-216,652
348266,-735,227,467
348273,-182,343,263
348279,-249,304,1006
348285,-31,152,1026
348291,-589,245,1420
348298,-241,-33,928
348304,-557,303,799
348310,-258,65,621
348316,-362,176,784
348323,-404,142,1081
348329,-357,160,1074
348335,-535,119,921
348341,-493,101,683
348348,-412,131,827
348354,-433,154,1085
348360,-394,193,1060
348366,-502,35,987
348373,-477,-16,789
348379,-470,19,927
348385,-360,3,946
348391,-311,77,949
348398,-493,61,1051
348404,-430,52,972
348410,-389,78,986
348416,-301,11,856
348423,-421,0,954
348429,-401,-30,954
348435,-433,17,952
348441,-436,5,936
348448,-398,62,969
348454,-450,8,951
348460,-382,68,896
348466,-401,94,962
348473,-408,64,922
348479,-403,14,919
348485,-458,36,951
348491,-441,6,930
348498,-433,24,949
348504,-421,51,931
348510,-456,28,961
348516,-442,8,930
348523,-451,28,926
