time,ax,ay,az
252097,-480,-133,918
252104,-440,-92,953
252110,-297,-126,904
252116,-336,-67,967
252122,-339,-92,997
252129,-324,-41,893
252135,-502,-40,909
252141,-464,-72,911
252147,-370,-69,926
252154,-468,-27,954
252160,-487,-33,963
252166,-466,-59,899
252172,-415,-56,907
252179,-350,-74,908
252185,-424,-56,978
252191,-471,-152,980
252197,-461,-65,880
252204,-523,-94,986
252210,-412,-95,974
252216,-380,-67,912
252222,-497,-116,856
252229,-763,69,740
252235,-662,-206,258
252241,-277,-514,-261
252247,-52,-292,-428
252254,501,-547,-190
252260,1064,-548,-176
252266,1584,-385,149
252272,941,-902,605
252279,603,-1021,-188
252285,-636,619,-125
252291,-906,303,-147
252297,-1998,1996,-1871
252304,-1998,1975,-39
252310,-1102,867,-108
252316,-919,126,-629
252322,-1715,16,-705
252329,-1989,243,-1214
252335,-1359,1327,-1692
252341,-940,1662,-1025
252347,-1283,320,-546
252354,-1311,-562,-285
252360,-1304,-107,-281
252366,-1424,-98,-469
252372,-818,20,-581
252379,-806,213,-208
252385,-1031,41,-90
252391,-1023,-157,81
252397,-795,-189,129
252404,-609,-174,-136
252410,-568,-229,-309
252416,-501,-184,-379
252422,-830,-50,-468
252429,-1352,-15,-790
252435,-1977,153,-614
252441,-1543,806,-390
252447,-1579,621,-211
252454,-1210,10,-233
252460,-652,-12,-315
252466,-539,55,-168
252472,-750,-55,86
252479,-778,70,-3
252485,-687,71,-262
252491,-824,98,-299
252497,-776,211,-386
252504,-801,234,-442
252510,-1191,155,-337
252516,-1474,122,-627
252522,-1181,398,-912
252529,-1542,51,-418
252535,-1797,-37,473
252541,-1531,-176,-233
252547,-1159,-530,-885
252554,-798,-592,-850
252560,-976,-270,-499
252566,-934,-445,-208
252572,-908,-301,-148
252579,-810,-259,-323
252585,-747,-52,-420
252591,-581,125,-456
252597,-771,220,-159
252604,-836,234,-10
252610,-964,132,259
252616,-920,256,205
252622,-759,265,-14
252629,-985,282,-23
252635,-1850,189,-306
252641,-1439,409,-650
252647,-968,557,-526
252654,-1205,294,-353
252660,-1015,45,-197
