time,ax,ay,az
300717,-505,-66,914
300723,-513,-106,895
300730,-533,-59,902
300736,-500,-57,883
300742,-486,-73,882
300748,-488,-44,914
300755,-427,-88,867
300761,-509,-69,889
300767,-515,-115,903
300773,-465,-114,876
300780,-523,-107,902
300786,-527,-100,876
300792,-568,-89,887
300798,-532,-104,858
300805,-546,-102,905
300811,-547,-65,881
300817,-548,-44,876
300823,-521,-76,855
300830,-537,-66,866
300836,-445,-85,865
300842,-478,-26,935
300848,-425,-112,892
300855,-476,-227,808
300861,-632,-143,769
300867,-737,-55,728
300873,-860,-41,693
300880,-790,134,435
300886,-472,-30,228
300892,-505,-199,397
300898,-12,-62,-114
300905,335,-274,-124
300911,617,-166,-119
300917,1110,-229,-574
300923,343,-646,-778
300930,-1960,-371,-868
300936,-1998,868,-999
300942,-1998,1162,-1167
300948,-1998,1557,-1540
300955,-1983,834,-987
300961,-1998,1545,-1073
300967,-195,1387,-1996
300973,-1612,38,-1156
300980,-569,1020,-1987
300986,-1024,919,-898
300992,-933,210,-613
300998,-1182,57,-483
301005,-738,-233,-560
301011,-865,-208,-431
301017,-839,-300,-748
301023,-1001,-41,-689
301030,-1048,123,-617
301036,-1244,15,-300
301042,-1338,75,-155
301048,-1279,-27,-96
301055,-1118,-113,-380
301061,-1027,-257,-550
301067,-1017,-248,-602
301073,-1027,-346,-511
301080,-755,-157,-415
301086,-917,-320,-234
301092,-911,-373,-315
301098,-723,-389,-392
301105,-697,-433,-382
301111,-719,-389,-352
301117,-866,-345,-233
301123,-876,-335,-259
301130,-935,-319,-348
301136,-1049,-381,-387
301142,-1030,-191,-386
301148,-1074,-207,-282
301155,-995,-177,-378
301161,-987,-169,-361
301167,-950,-165,-376
301173,-946,-163,-384
301180,-896,-203,-398
301186,-856,-161,-424
301192,-828,-266,-404
301198,-852,-243,-392
301205,-868,-245,-405
301211,-951,-275,-357
301217,-912,-250,-381
301223,-908,-308,-362
301230,-905,-321,-315
301236,-882,-279,-328
301242,-917,-286,-339
301248,-857,-277,-376
301255,-935,-256,-315
301261,-921,-197,-375
301267,-938,-239,-358
301273,-886,-239,-399
301280,-955,-214,-339
301286,-941,-239,-362
301292,-910,-159,-415
301298,-925,-236,-389
301305,-915,-250,-405
301311,-915,-244,-475
301317,-910,-178,-504
301323,-845,-183,-440
301330,-837,-228,-406
301336,-865,-263,-399
301342,-863,-207,-464
301348,-863,-227,-467
301355,-889,-258,-416
301361,-875,-262,-387
301367,-936,-242,-349
301373,-951,-242,-372
301380,-970,-203,-382
301386,-932,-157,-395
301392,-917,-176,-332
301398,-935,-186,-342
301405,-897,-133,-415
301411,-897,-116,-414
301417,-882,-187,-389
301423,-869,-200,-390
301430,-883,-215,-378
301436,-932,-226,-316
301442,-861,-240,-348
301448,-954,-247,-318
301455,-1003,-279,-286
301461,-1017,-248,-273
301467,-927,-160,-310
301473,-867,-210,-312
301480,-934,-191,-368
301486,-991,-137,-379
301492,-1111,-109,-402
301498,-1241,-91,-585
301505,-1375,-229,-617
301511,-924,-165,-624
301517,-831,-118,-206
301523,-1015,-165,-149
301530,-988,-213,-336
301536,-738,-221,-447
301542,-562,-200,-349
301548,-695,-237,-139
301555,-567,-189,-318
301561,-739,-224,-394
301567,-757,-258,-498
301573,-1036,-293,-523
301580,-1306,-285,-555
301586,-1626,-68,-603
301592,-1438,277,-558
301598,-1305,334,-168
301605,-1170,40,-208
301611,-949,143,-400
301617,-570,188,-505
301623,-536,28,-340
301630,-767,-90,-208
301636,-1230,-111,-292
301642,-1436,-48,-613
301648,-1438,-126,-969
301655,-1179,-330,-1120
301661,-655,-289,-717
301667,-628,-133,-332
301673,-1179,-306,-46
301680,-923,-337,-19
301686,-602,-155,-24
301692,-478,-156,-169
301698,-618,-260,-277
301705,-758,-219,-435
301711,-914,-175,-615
301717,-1315,-243,-701
301723,-1873,-73,-805
301730,-1505,457,-530
301736,-1502,321,-127
301742,-1258,-267,-279
301748,-851,79,-343
301755,-537,198,-305
301761,-826,-155,-19
301767,-1069,-125,-166
301773,-1249,-178,-490
301780,-1508,-196,-867
301786,-1348,-300,-1270
301792,-859,-322,-1264
301798,-271,-75,-684
301805,-1618,-27,154
301811,-1216,-510,-81
301817,-908,-208,-110
301823,-591,-46,-133
301830,-464,-34,-269
301836,-709,-218,-119
301842,-661,-152,-484
301848,-1115,-6,-702
301855,-1393,-69,-702
301861,-1723,145,-708
301867,-1799,675,-151
301873,-1655,453,-162
301880,-1934,824,-361
301886,-1998,621,-104
301892,-1603,893,-470
301898,-1647,291,-280
301905,-1150,133,-437
301911,-771,203,-334
301917,-537,145,-18
301923,-214,24,225
301930,73,158,461
301936,-173,609,663
301942,140,963,384
303307,-684,642,94
303325,-569,789,75
303332,-625,781,126
303354,-664,733,56
303368,-690,719,68
303382,-680,698,48
303398,-674,701,53
303419,-700,749,52
303429,-681,746,49
303438,-663,746,45
303450,-658,763,61
303461,-680,773,73
303482,-668,737,76
303522,-666,687,165
303529,-625,657,140
303546,-636,775,155
303595,-654,745,138
303602,-686,737,140
303609,-666,734,127
303625,-657,735,127
303642,-628,754,111
303682,-632,774,81
303688,-647,760,100
303694,-616,754,85
303700,-625,743,87
303707,-625,751,77
303713,-640,785,90
303719,-624,793,82
303725,-610,777,80
303732,-613,784,72
303738,-619,785,72
303744,-621,778,84
303750,-613,770,79
303757,-607,764,76
303763,-615,761,82
303769,-629,780,71
303775,-633,779,83
303782,-619,779,76
303788,-608,780,65
303794,-614,770,71
303800,-623,774,77
303807,-623,750,74
303813,-642,752,70
303819,-646,746,69
303825,-658,752,70
303832,-656,772,62
303838,-654,757,67
303844,-645,752,66
303850,-644,744,70
303857,-632,762,57
303863,-650,753,79
303869,-660,753,73
303875,-656,752,75
303882,-644,748,65
303888,-645,741,71
303894,-639,745,69
303900,-653,761,81
303907,-636,762,65
303913,-627,748,64
303919,-647,763,86
303925,-635,759,80
303932,-625,735,67
303938,-639,743,66
303944,-650,754,73
303950,-650,731,74
303957,-646,735,71
303963,-632,734,66
303969,-644,757,43
303975,-671,794,68
303982,-635,773,63
303988,-618,752,52
303994,-617,760,53
304000,-636,776,48
304007,-645,767,59
304013,-632,749,58
304019,-633,748,55
304025,-629,754,39
304032,-638,762,45
304038,-632,755,45
304044,-623,751,43
304050,-627,776,33
304057,-622,790,36
304063,-607,779,33
304069,-608,780,31
304075,-615,786,33
304082,-612,784,24
304088,-605,779,26
304094,-623,791,33
304100,-616,802,28
304107,-633,753,50
304113,-629,648,26
304119,-538,254,32
304125,-502,67,-16
304132,-188,625,-703
