time,ax,ay,az
138116,-679,-36,827
138123,-625,9,745
138129,-666,-64,811
138135,-693,24,770
138141,-713,-75,811
138148,-672,50,718
138154,-705,-28,790
138160,-685,40,777
138166,-686,11,754
138173,-670,0,757
138179,-860,171,719
138185,-812,505,613
138191,-668,387,292
138198,-487,-8,-164
138204,153,-352,-368
138210,321,-323,338
138216,456,-228,289
138223,441,-448,536
138229,174,-668,965
138235,-1923,-1863,1998
138241,-1503,-1845,1230
138248,258,1227,403
138254,-688,1996,602
138260,-695,1462,1059
138266,-487,549,1088
138273,-190,127,806
138279,-455,-159,771
138285,-964,273,838
138291,-790,424,494
138298,-660,702,359
138304,-691,971,546
138310,-676,1645,55
138316,-1292,806,996
138323,-621,744,148
138329,-329,532,104
138335,-379,663,-53
138341,-451,821,-37
138348,-600,604,35
138354,-824,848,-158
138360,-1266,680,125
138366,-703,469,-424
138373,-840,810,-184
138379,-1132,1521,189
138385,-1013,854,371
138391,-990,101,251
138398,-901,122,14
138404,-808,394,-252
138410,-835,595,-371
138416,-1056,760,-158
138423,-1374,457,248
138429,-1071,429,153
138435,-992,475,185
138441,-880,390,152
138448,-932,411,311
138454,-877,365,432
138460,-610,460,312
138466,-743,1101,509
138473,-658,671,298
138479,-1008,1266,404
138485,-144,1081,-686
138491,-346,536,-677
138498,-20,596,-599
138504,249,364,-772
138510,479,351,-756
138516,556,548,-582
138523,-1534,1037,983
138529,761,1417,-768
138535,341,1189,-508
138541,-96,1284,-103
138548,55,1156,-231
138554,159,1088,-449
138560,181,1027,-670
138566,-119,879,-224
138573,-5,620,-276
138579,-32,599,-247
138585,-3,792,-145
138591,-9,933,-86
138598,-21,935,-140
138604,10,1030,-169
138610,29,1071,-167
138616,39,996,-251
138623,71,994,-466
138629,-109,947,-135
138635,-78,856,-69
138641,25,842,-224
138648,-5,920,-312
138654,-87,1026,-226
138660,-128,967,-149
138666,-84,856,-165
138673,-54,918,-173
138679,-34,956,-189
138685,-32,988,-198
138691,-44,972,-184
138698,-49,980,-190
138704,-59,925,-177
138710,-17,921,-196
138716,-11,931,-192
138723,4,973,-221
138729,-2,963,-194
138735,-2,931,-201
138741,6,958,-198
138748,27,953,-215
138754,12,936,-210
138760,8,937,-217
138766,-16,926,-188
138773,-2,942,-196
138779,-4,955,-179
138785,12,985,-201
138791,31,984,-201
138798,43,972,-216
138804,41,956,-207
138810,41,956,-216
138816,37,944,-217
138823,29,952,-216
138829,18,953,-221
138835,13,979,-231
138841,10,956,-218
138848,25,957,-225
138854,26,928,-218
138860,52,940,-233
138866,43,936,-218
138873,43,941,-227
138879,38,938,-229
138885,28,930,-223
138891,21,928,-207
138898,40,958,-218
138904,58,951,-226
138910,42,942,-213
138916,62,936,-220
138923,69,927,-213
138929,79,936,-227
138935,55,964,-221
138941,48,947,-216
138948,39,924,-199
138954,57,929,-196
138960,92,936,-229
138966,80,926,-211
138973,79,940,-213
138979,81,938,-209
138985,88,933,-221
138991,74,932,-223
138998,61,935,-221
139004,63,938,-232
139010,49,955,-222
139016,50,953,-233
139023,44,954,-222
139029,50,948,-233
139035,58,961,-219
139041,76,935,-214
139048,87,925,-214
139054,90,941,-192
139060,94,934,-177
139066,97,902,-176
139073,92,942,-186
139079,91,965,-189
139085,85,948,-195
139091,92,941,-187
139098,86,933,-194
139104,74,931,-194
139110,65,959,-211
139116,49,963,-194
139123,72,929,-191
139129,101,942,-215
139135,90,937,-201
139141,87,921,-191
139148,99,939,-202
139154,91,976,-216
139160,82,973,-210
139166,87,932,-192
139173,102,932,-206
139179,101,938,-204
139185,88,935,-200
139191,86,940,-205
139198,75,926,-184
139204,95,953,-199
139210,106,972,-209
