time,ax,ay,az
121206,-475,45,765
121213,-551,-87,808
121219,-508,-22,835
121225,-698,-110,836
121231,-747,-46,838
121238,-657,10,788
121244,-601,84,786
121250,-658,11,801
121256,-685,82,776
121263,-673,0,824
121269,-683,47,823
121275,-658,49,818
121281,-625,42,789
121288,-647,46,794
121294,-653,87,813
121300,-657,-2,778
121306,-725,55,828
121313,-716,23,821
121319,-705,41,760
121325,-689,63,772
121331,-643,77,816
121338,-599,130,792
121344,-584,95,801
121350,-666,137,863
121356,-773,205,802
121363,-822,205,773
121369,-618,24,662
121375,-416,-120,298
121381,-281,-129,67
121388,-102,-371,90
121394,432,-440,29
121400,735,-388,22
121406,1195,-359,-160
121413,507,-190,-226
121419,-765,268,100
121425,-1197,938,-322
121431,-1278,1322,-1133
121438,-1672,1428,-1538
121444,-1998,1547,-1484
121450,-1563,959,-1535
121456,-1580,351,-1289
121463,-1261,-497,-1590
121469,-1664,380,-1675
121475,-478,1117,-1464
121481,-587,849,-988
121488,-1067,220,-467
121494,-821,41,-296
121500,-698,-18,-279
121506,-622,-9,-393
121513,-779,-33,-513
121519,-1831,606,-408
121525,-1842,771,-130
121531,-1423,599,-529
121538,-1305,813,-556
121544,-1487,772,-126
121550,-1058,806,-147
121556,-845,492,29
121563,-487,148,89
121569,-329,214,290
121575,6,101,334
121581,-158,-16,588
121588,47,162,536
121594,-462,332,931
121600,-287,86,987
121606,-65,370,833
121613,-326,74,1081
121619,-142,283,987
121625,3,496,896
121631,-36,225,1081
121638,-380,158,1219
121644,749,619,273
121650,-1019,-8,1470
121656,-151,150,1039
121663,-140,254,972
121669,-153,180,1020
121675,-58,321,966
121681,-147,225,978
121688,-88,161,943
121694,-173,213,1019
121700,-119,210,977
121706,-132,173,998
121713,-191,177,1027
121719,-145,251,976
121725,-175,178,1001
121731,-193,151,1016
121738,-186,227,1025
121744,-116,202,981
121750,-128,228,955
121756,-146,162,990
121763,-130,174,1019
121769,-172,182,963
121775,-163,219,956
121781,-175,201,1041
121788,-153,137,1001
121794,-175,227,973
121800,-215,179,1021
121806,-118,201,977
121813,-217,195,1021
121819,-133,198,968
121825,-209,190,1019
121831,-161,198,988
121838,-212,157,1034
121844,-138,190,978
121850,-167,147,1014
121856,-196,189,1017
121863,-149,188,1005
121869,-182,177,1008
121875,-150,185,989
121881,-205,184,1021
121888,-136,197,987
121894,-139,186,987
121900,-182,156,1024
121906,-175,201,992
121913,-226,161,1041
121919,-196,191,1016
121925,-162,164,1001
121931,-169,168,995
121938,-134,175,988
121944,-149,171,990
121950,-131,171,989
121956,-161,159,986
121963,-194,227,1012
121969,-153,185,983
121975,-166,172,1000
121981,-149,193,992
121988,-157,165,997
121994,-190,160,1019
122000,-130,169,974
122006,-121,147,978
122013,-173,179,1000
122019,-165,158,999
122025,-161,181,1000
122031,-154,153,988
122038,-153,182,986
122044,-178,149,1017
122050,-161,172,1001
122056,-177,152,1008
122063,-182,167,1007
122069,-197,161,1022
122075,-195,166,1017
122081,-175,171,1011
122088,-136,140,998
122094,-155,170,985
122100,-113,149,976
122106,-166,158,990
122113,-154,193,985
122119,-170,156,1027
122125,-171,144,997
122131,-125,160,1005
122138,-156,190,998
122144,-154,178,987
122150,-196,152,1033
123571,-932,753,10
123578,-989,753,-152
123604,-670,429,-331
123625,-777,365,-966
123632,-895,968,-1421
123641,-1103,576,-1120
123648,-1550,302,1877
123660,-1363,1114,-229
123667,-1315,813,111
123679,-932,940,190
123686,-784,856,-623
123702,-161,406,-559
123712,298,218,-871
123742,-592,837,253
123749,267,1061,-577
123755,-227,1115,-438
123762,-38,1043,-765
123768,91,895,-684
123774,-396,786,-331
123780,-322,798,-344
123787,-190,702,-217
123793,24,515,-185
123799,122,465,-85
123805,160,547,-12
123812,-73,937,427
123818,-16,1306,10
123824,431,1326,-477
123830,523,1143,-443
123837,461,1018,-618
123843,69,1191,-474
123849,-30,930,-157
123855,195,559,-450
123862,214,412,-406
123868,-11,660,-233
123874,-96,782,-56
123880,63,873,-344
123887,-95,681,-123
123893,52,1231,-384
123899,-238,1319,-254
123905,-281,1303,-241
123912,304,1050,-550
123918,129,656,-314
123924,-279,655,-261
123930,-196,1045,-159
123937,149,931,-216
123943,71,591,63
123949,257,523,-110
123955,120,789,-44
123962,205,1070,-134
123968,153,1033,-139
123974,107,1076,-127
123980,350,1298,-467
123987,518,1089,-779
123993,90,757,-418
123999,67,907,-531
124005,34,1241,-291
124012,88,1069,-177
124018,209,915,-243
124024,253,831,-333
124030,59,946,-85
124037,76,1150,-50
124043,-209,1036,239
124049,-42,1004,262
124055,392,1129,-181
124062,-104,875,-25
124068,-410,869,254
124074,-156,860,224
124080,-294,540,420
124087,-122,525,376
124093,-212,561,441
124099,-370,598,544
124105,-391,786,694
124112,-648,925,863
124118,-606,936,982
124124,-159,1126,600
124130,-124,541,666
124137,-316,497,693
124143,-396,467,519
124149,-257,376,370
124155,-208,379,300
124162,-323,301,390
124168,-311,454,422
124174,-413,688,542
124180,-627,924,555
124187,-427,1332,281
124193,25,1633,-110
124199,253,1244,-160
124205,343,1038,-172
124212,147,1131,50
124218,245,892,62
124224,132,620,193
124230,128,591,149
124237,118,672,174
124243,98,885,258
124249,329,1143,101
124255,49,1395,341
124262,301,1599,87
