time,wx,wy,wz
199676,-0.4,1.6,0.3
199683,-1.1,1.1,1.1
199689,-0.7,1.0,1.1
199695,0.3,0.5,1.5
199701,0.4,-0.8,0.2
199708,-1.8,2.3,0.6
199714,-2.1,0.7,1.2
199720,-0.4,3.5,0.0
199726,0.2,2.3,0.8
199733,-0.5,1.1,1.2
199739,-1.2,0.6,1.5
199745,-1.0,-1.4,3.0
199751,0.2,-0.9,4.9
199758,0.8,0.6,5.9
199764,1.1,-0.7,5.9
199770,0.9,0.4,5.8
199776,0.7,-0.3,5.4
199783,1.0,-0.4,4.9
199789,1.6,0.0,5.6
199795,1.8,-1.4,5.1
199801,1.5,-2.9,4.2
199808,0.8,-3.9,4.2
199814,1.5,-2.8,3.0
199820,4.0,-4.2,2.2
199826,7.0,-1.1,4.6
199833,10.0,0.4,7.5
199839,20.6,0.9,9.7
199845,35.9,-4.4,8.7
199851,41.7,-2.8,12.6
199858,45.2,-9.1,23.3
199864,55.0,-3.0,28.2
199870,70.1,-5.4,31.2
199876,82.3,-11.6,35.2
199883,101.5,-26.0,49.2
199889,110.7,-38.9,57.5
199895,102.9,-80.7,57.1
199901,77.3,-70.2,66.3
199908,54.8,-102.4,82.1
199914,9.2,-62.3,73.6
199920,-34.3,65.4,53.3
199926,-76.8,130.9,41.5
199933,-108.3,169.4,28.8
199939,-130.2,224.7,29.2
199945,-134.6,190.4,14.0
199951,-141.6,221.2,-2.1
199958,-153.8,161.1,9.7
199964,-188.2,174.4,53.4
199970,-228.9,58.7,73.0
199976,-107.9,119.0,96.0
199983,-16.4,201.8,87.7
199989,17.7,258.3,61.6
199995,63.7,55.3,-7.1
200001,98.4,124.5,-51.8
200008,65.8,126.4,-75.0
200014,22.1,194.1,-96.8
200020,16.3,214.3,-102.2
200026,-38.2,150.4,-73.0
200033,9.7,211.6,-71.7
200039,-24.0,122.4,-84.7
200045,-19.9,132.5,-94.8
200051,-62.3,93.5,-57.8
200058,-45.7,82.8,-46.3
200064,-61.0,10.4,-22.2
200070,-42.9,9.3,-14.7
200076,-17.1,-55.9,32.2
200083,-10.2,-21.0,40.1
200089,-15.8,-109.2,0.9
200095,-35.7,-114.1,-56.7
200101,18.0,-91.1,-85.6
200108,108.3,-69.0,-63.4
200114,314.9,-251.8,5.6
200120,503.7,-16.2,-45.7
200126,-55.8,-793.2,8.4
200133,-95.4,-76.7,212.5
200139,-96.0,42.4,169.7
200145,-139.1,-269.4,181.8
200151,-157.7,-113.1,177.5
200158,-44.5,-53.4,90.7
200164,23.3,34.5,25.1
200170,15.4,-82.5,1.8
200176,15.0,-103.9,-17.0
200183,15.3,-81.7,-0.7
200189,23.8,-71.1,-1.1
200195,9.4,-70.5,1.1
