time,ax,ay,az
430809,-565,69,1327
430816,-378,-336,1320
430822,-393,120,1132
430828,271,42,895
430834,213,19,858
430841,56,-281,1202
430847,-430,-223,1998
430853,-854,-287,1998
430859,-542,170,1998
430866,987,438,794
430872,-42,57,827
430878,-97,183,109
430884,-789,22,517
430891,-426,-43,321
430897,-569,-256,862
430903,39,-410,674
430909,212,-461,699
430916,239,-575,769
430922,103,-527,710
430928,147,-329,537
430934,368,-370,534
430941,685,-437,442
430947,639,-575,432
430953,614,-744,387
430959,395,-796,440
430966,424,-1019,465
430972,280,-897,598
430978,328,-492,458
430984,438,-250,439
430991,607,-56,398
430997,601,124,426
431003,434,194,570
431009,294,256,541
431016,218,403,576
431022,-316,1374,426
431028,-1095,1373,1486
431034,217,1568,345
431041,-892,1185,1271
431047,539,1062,-155
431053,-519,1158,648
431059,236,804,257
431066,3,1240,265
431072,-388,1013,527
431078,203,593,64
431084,-192,911,491
431091,169,1176,172
431097,34,1007,257
431103,-52,982,300
431109,61,961,267
431116,81,929,233
431122,83,785,264
431128,99,879,223
431134,14,1010,338
431141,30,1032,301
431147,54,935,304
431153,116,903,201
431159,33,930,325
431166,89,922,314
431172,119,957,301
431178,116,949,300
431184,87,914,342
431191,129,912,296
431197,130,913,300
431203,104,918,334
431209,120,917,313
431216,112,901,325
431222,97,891,329
431228,123,941,300
431234,122,942,315
431241,121,905,319
431247,113,925,314
431253,116,916,307
431259,115,935,314
431266,136,924,299
431272,114,927,312
431278,90,912,345
431284,112,934,310
431291,122,907,324
431297,142,924,281
431303,160,930,272
431309,127,982,278
431316,95,929,342
431322,98,883,352
431328,89,942,341
431334,102,872,347
431341,103,911,322
431347,111,949,318
431353,89,913,345
431359,92,922,326
431366,110,913,315
431372,85,934,338
431378,59,914,343
431384,-17,887,389
431391,-98,864,458
431397,-90,811,436
431403,-37,597,392
431409,-83,502,394
431416,-93,535,292
431422,-310,565,385
431428,-428,587,295
431434,-607,772,132
431441,-765,841,17
431447,-841,871,-120
431453,-1017,1009,-66
431459,-748,473,-123
431466,-817,407,-137
431472,-742,289,-240
431478,-708,17,-316
431484,-830,-81,-472
431491,-1125,-65,-631
431497,-1434,191,-699
431503,-1450,564,-622
431509,-1430,757,-416
431516,-1284,223,-306
431522,-1171,-158,-404
431528,-1273,-233,-568
431534,-1252,-47,-583
431541,-741,319,-390
431547,-1260,328,150
431553,-1369,226,126
431559,-1344,78,-256
431566,-1160,24,-524
431572,-831,5,-643
431578,-593,-43,-474
431584,-630,-126,-265
431591,-711,-235,-126
431597,-769,-116,-187
431603,-918,-124,-325
431609,-1116,-44,-498
431616,-1410,54,-572
431622,-1305,373,-402
431628,-1511,359,-140
431634,-1332,253,-62
431641,-921,238,-116
431647,-705,155,-128
431653,-694,9,-75
431659,-897,-75,-112
431666,-1217,-76,-329
431672,-1502,-119,-529
431678,-1384,-97,-844
431684,-1113,51,-787
431691,-210,324,-695
431697,-1308,125,2
431703,-1121,-167,115
431709,-888,-8,64
431716,-501,47,-159
431722,-568,-27,-200
431728,-701,-144,-206
431734,-794,-56,-257
431741,-1074,-129,-316
431747,-1391,-70,-488
431753,-1742,210,-544
431759,-1479,628,-394
431766,-1397,604,-265
431772,-1045,195,-260
431778,-600,139,-208
431784,-605,110,-66
431791,-768,-65,8
431797,-1193,-102,-204
431803,-1554,-137,-527
431809,-1485,-211,-897
431816,-1190,-273,-1057
431822,-234,25,-868
431828,-1410,268,48
431834,-1274,-241,194
