time,ax,ay,az
357739,-451,-60,872
357745,-417,-76,897
357751,-458,-111,935
357757,-413,-101,886
357764,-500,-157,943
357770,-481,-136,880
357776,-577,-107,931
357782,-480,-142,870
357789,-490,-134,904
357795,-617,-153,874
357801,-622,-123,862
357807,-538,-103,904
357814,-415,-61,874
357820,-463,-47,894
357826,-539,-40,866
357832,-611,-79,859
357839,-628,-91,927
357845,-511,-141,879
357851,-388,-185,844
357857,-423,-259,892
357864,-429,-369,909
357870,-491,-405,874
357876,-506,-300,837
357882,-675,-274,819
357889,-492,-14,689
357895,-280,-137,824
357901,60,-288,829
357907,215,-216,692
357914,129,-550,867
357920,293,-593,767
357926,170,-837,826
357932,-11,-929,778
357939,43,-828,538
357945,173,-571,376
357951,37,-834,530
357957,8,-743,429
357964,-332,-376,644
357970,-384,-62,907
357976,-353,124,896
357982,-350,-177,1064
357989,-229,-297,1165
357995,-362,-114,1326
358001,-504,-84,1166
358007,-735,-189,1385
358014,-819,-378,1146
358020,-898,-540,1113
358026,-724,-466,980
358032,-509,-350,789
358039,-402,-225,710
358045,-202,-61,559
358051,-195,162,544
358057,-341,297,717
358064,-555,204,854
358070,-453,146,885
358076,-15,220,565
358082,-299,397,865
358089,-326,734,864
358095,-527,631,1038
358101,-63,658,450
358107,-300,833,738
358114,457,455,389
358120,163,755,719
358126,201,718,14
358132,-418,-1601,404
358139,1184,1263,-367
358145,-1523,1935,-286
358151,-653,1220,-1221
358157,-383,1090,-831
358164,-160,724,-898
358170,78,421,-724
358176,250,324,-988
358182,299,433,-1038
358189,385,674,-969
358195,262,864,-321
358201,-353,1311,-660
358207,-199,1073,-278
358214,15,562,-655
358220,15,412,-621
358226,-8,618,-650
358232,-230,810,-489
358239,-352,750,-406
358245,-347,691,-365
358251,-167,750,-453
358257,-139,781,-435
358264,-125,766,-607
358270,-308,946,-500
358276,-293,999,-511
358282,-4,913,-769
358289,-139,858,-569
358295,-80,696,-602
358301,-28,587,-714
358307,-83,624,-881
358314,-453,880,-551
358320,-456,873,-451
358326,-340,721,-548
358332,-240,594,-648
358339,-283,639,-694
358345,-547,900,-432
358351,-353,790,-387
358357,-246,658,-373
358364,-217,653,-411
358370,-174,912,-489
358376,-363,1093,-356
358382,-387,884,-317
358389,-249,741,-493
358395,74,793,-791
360296,-177,920,-241
360307,-201,923,-242
360319,-205,924,-239
360338,-202,926,-242
360349,-200,921,-248
360371,-209,937,-243
360378,-201,907,-235
360394,-214,913,-232
360406,-210,920,-242
360417,-212,910,-244
360438,-195,932,-242
360448,-223,927,-246
360455,-233,919,-242
